fixture,if_advances,prob,champ_pre_c,champ_adjusted_c,delta_adjusted_c,loser_released_c,biggest_third_party,third_party_delta_c
ARG-EGY,ARG,0.85,14.637,17.249,2.611,0.087,COL,-0.635
ARG-EGY,EGY,0.15,0.087,0.667,0.58,14.637,COL,3.58
SUI-COL,SUI,0.4,3.097,8.594,5.496,4.811,FRA,-0.293
SUI-COL,COL,0.6,4.811,8.054,3.243,3.097,ARG,-0.054
FRA-MAR,FRA,0.78,34.648,44.528,9.88,3.252,ESP,-2.614
FRA-MAR,MAR,0.22,3.252,16.891,13.639,34.648,ESP,8.495
ESP-BEL,ESP,0.75,18.364,24.553,6.189,2.459,FRA,-2.208
ESP-BEL,BEL,0.25,2.459,11.185,8.726,18.364,FRA,5.935
ENG-NOR,ENG,0.65,14.596,22.542,7.946,5.949,ARG,-0.571
ENG-NOR,NOR,0.35,5.949,19.017,13.069,14.596,ARG,0.658
