ts,price,volume,dt
1782630000,0.216,70584.91,2026-06-28 07:00:00+00:00
1782633600,0.216,52955.27,2026-06-28 08:00:00+00:00
1782637200,0.216,47242.44,2026-06-28 09:00:00+00:00
1782640800,0.216,125033.4,2026-06-28 10:00:00+00:00
1782644400,0.217,27415.4,2026-06-28 11:00:00+00:00
1782648000,0.217,37367.66,2026-06-28 12:00:00+00:00
1782651600,0.215,76200.93,2026-06-28 13:00:00+00:00
1782655200,0.205,68278.34,2026-06-28 14:00:00+00:00
1782658800,0.217,57684.51,2026-06-28 15:00:00+00:00
1782662400,0.216,70802.39,2026-06-28 16:00:00+00:00
1782666000,0.217,83305.77,2026-06-28 17:00:00+00:00
1782669600,0.218,133582.43,2026-06-28 18:00:00+00:00
1782673200,0.219,82464.32,2026-06-28 19:00:00+00:00
1782676800,0.219,73596.67,2026-06-28 20:00:00+00:00
1782680400,0.214,202465.62,2026-06-28 21:00:00+00:00
1782684000,0.217,139695.41,2026-06-28 22:00:00+00:00
1782687600,0.216,103818.28,2026-06-28 23:00:00+00:00
1782691200,0.216,72361.57,2026-06-29 00:00:00+00:00
1782694800,0.216,58340.67,2026-06-29 01:00:00+00:00
1782698400,0.216,47562.85,2026-06-29 02:00:00+00:00
1782702000,0.216,82239.78,2026-06-29 03:00:00+00:00
1782705600,0.216,76132.37,2026-06-29 04:00:00+00:00
1782709200,0.216,83867.92,2026-06-29 05:00:00+00:00
1782712800,0.215,25824.56,2026-06-29 06:00:00+00:00
1782716400,0.214,32294.05,2026-06-29 07:00:00+00:00
1782720000,0.214,22742.15,2026-06-29 08:00:00+00:00
1782723600,0.214,8602.2,2026-06-29 09:00:00+00:00
1782727200,0.214,12288.51,2026-06-29 10:00:00+00:00
1782730800,0.214,16376.37,2026-06-29 11:00:00+00:00
1782734400,0.213,19023.34,2026-06-29 12:00:00+00:00
1782738000,0.215,20080.76,2026-06-29 13:00:00+00:00
1782741600,0.215,23193.75,2026-06-29 14:00:00+00:00
1782745200,0.212,33908.47,2026-06-29 15:00:00+00:00
1782748800,0.215,90177.48,2026-06-29 16:00:00+00:00
1782752400,0.216,83392.99,2026-06-29 17:00:00+00:00
1782756000,0.215,80436.29,2026-06-29 18:00:00+00:00
1782759600,0.216,56087.67,2026-06-29 19:00:00+00:00
1782763200,0.201,136929.24,2026-06-29 20:00:00+00:00
1782766800,0.213,72219.3,2026-06-29 21:00:00+00:00
1782770400,0.211,51317.71,2026-06-29 22:00:00+00:00
1782774000,0.209,105520.94,2026-06-29 23:00:00+00:00
1782777600,0.211,157292.19,2026-06-30 00:00:00+00:00
1782781200,0.208,121837.14,2026-06-30 01:00:00+00:00
1782784800,0.212,158741.95,2026-06-30 02:00:00+00:00
1782788400,0.209,69052.99,2026-06-30 03:00:00+00:00
1782792000,0.213,134753.49,2026-06-30 04:00:00+00:00
1782795600,0.214,170466.99,2026-06-30 05:00:00+00:00
1782799200,0.214,109698.34,2026-06-30 06:00:00+00:00
1782802800,0.213,45239.06,2026-06-30 07:00:00+00:00
1782806400,0.212,47359.18,2026-06-30 08:00:00+00:00
1782810000,0.213,38269.44,2026-06-30 09:00:00+00:00
