ts,price,volume,dt
1782630000,0.001,925.4,2026-06-28 07:00:00+00:00
1782633600,0.001,28125.7,2026-06-28 08:00:00+00:00
1782637200,0.001,10262.5,2026-06-28 09:00:00+00:00
1782640800,0.001,2497372.03,2026-06-28 10:00:00+00:00
1782644400,0.002,930.65,2026-06-28 11:00:00+00:00
1782648000,0.002,2112.5,2026-06-28 12:00:00+00:00
1782651600,0.002,1864.85,2026-06-28 13:00:00+00:00
1782655200,0.002,1858.39,2026-06-28 14:00:00+00:00
1782658800,0.002,305.0,2026-06-28 15:00:00+00:00
1782662400,0.002,7469.04,2026-06-28 16:00:00+00:00
1782666000,0.002,2294.65,2026-06-28 17:00:00+00:00
1782669600,0.002,604.45,2026-06-28 18:00:00+00:00
1782673200,0.002,9193.34,2026-06-28 19:00:00+00:00
1782676800,0.002,14007.5,2026-06-28 20:00:00+00:00
1782680400,0.002,6292.75,2026-06-28 21:00:00+00:00
1782684000,0.002,50221.45,2026-06-28 22:00:00+00:00
1782687600,0.002,100462.75,2026-06-28 23:00:00+00:00
1782694800,0.002,3466.47,2026-06-29 01:00:00+00:00
1782698400,0.001,659.2,2026-06-29 02:00:00+00:00
1782702000,0.002,2333.2,2026-06-29 03:00:00+00:00
1782705600,0.002,462.75,2026-06-29 04:00:00+00:00
1782709200,0.002,814.2,2026-06-29 05:00:00+00:00
1782712800,0.002,7352.9,2026-06-29 06:00:00+00:00
1782716400,0.002,9808.69,2026-06-29 07:00:00+00:00
1782730800,0.002,464.99,2026-06-29 11:00:00+00:00
1782738000,0.002,1647.4,2026-06-29 13:00:00+00:00
1782745200,0.002,2590.2,2026-06-29 15:00:00+00:00
1782748800,0.002,1393.4,2026-06-29 16:00:00+00:00
1782756000,0.002,2333.2,2026-06-29 18:00:00+00:00
1782759600,0.002,47030.6,2026-06-29 19:00:00+00:00
1782763200,0.001,101822.55,2026-06-29 20:00:00+00:00
1782766800,0.002,2795.95,2026-06-29 21:00:00+00:00
1782774000,0.002,969.25,2026-06-29 23:00:00+00:00
1782777600,0.002,11304.49,2026-06-30 00:00:00+00:00
1782781200,0.002,23045.69,2026-06-30 01:00:00+00:00
1782784800,0.002,2953.95,2026-06-30 02:00:00+00:00
1782788400,0.002,89.99,2026-06-30 03:00:00+00:00
1782792000,0.002,8824.94,2026-06-30 04:00:00+00:00
1782795600,0.002,75005.19,2026-06-30 05:00:00+00:00
1782799200,0.002,10842.95,2026-06-30 06:00:00+00:00
1782802800,0.002,17196.4,2026-06-30 07:00:00+00:00
1782806400,0.002,12179.45,2026-06-30 08:00:00+00:00
1782813600,0.002,6298.59,2026-06-30 10:00:00+00:00
1782820800,0.002,1397.4,2026-06-30 12:00:00+00:00
1782824400,0.002,925.5,2026-06-30 13:00:00+00:00
1782828000,0.002,4180.47,2026-06-30 14:00:00+00:00
1782831600,0.002,6679.45,2026-06-30 15:00:00+00:00
1782838800,0.002,13787.25,2026-06-30 17:00:00+00:00
1782842400,0.002,8785.7,2026-06-30 18:00:00+00:00
1782846000,0.002,10568.95,2026-06-30 19:00:00+00:00
