ts,price,volume,dt
1782630000,0.002,5013.25,2026-06-28 07:00:00+00:00
1782633600,0.002,50930.65,2026-06-28 08:00:00+00:00
1782637200,0.002,925.5,2026-06-28 09:00:00+00:00
1782640800,0.001,600000.0,2026-06-28 10:00:00+00:00
1782644400,0.002,11678.19,2026-06-28 11:00:00+00:00
1782648000,0.002,930.65,2026-06-28 12:00:00+00:00
1782651600,0.002,462.75,2026-06-28 13:00:00+00:00
1782655200,0.002,925.5,2026-06-28 14:00:00+00:00
1782658800,0.002,691.77,2026-06-28 15:00:00+00:00
1782662400,0.001,30494.16,2026-06-28 16:00:00+00:00
1782666000,0.002,1856.15,2026-06-28 17:00:00+00:00
1782673200,0.002,2318.9,2026-06-28 19:00:00+00:00
1782676800,0.002,46730.6,2026-06-28 20:00:00+00:00
1782680400,0.002,113067.7,2026-06-28 21:00:00+00:00
1782684000,0.002,50062.59,2026-06-28 22:00:00+00:00
1782687600,0.002,101851.0,2026-06-28 23:00:00+00:00
1782691200,0.001,102795.28,2026-06-29 00:00:00+00:00
1782694800,0.002,37379.95,2026-06-29 01:00:00+00:00
1782698400,0.002,462.75,2026-06-29 02:00:00+00:00
1782702000,0.002,7004.05,2026-06-29 03:00:00+00:00
1782705600,0.002,14930.45,2026-06-29 04:00:00+00:00
1782709200,0.002,1327.55,2026-06-29 05:00:00+00:00
1782712800,0.002,562.75,2026-06-29 06:00:00+00:00
1782716400,0.002,5135.84,2026-06-29 07:00:00+00:00
1782720000,0.002,930.43,2026-06-29 08:00:00+00:00
1782727200,0.002,462.75,2026-06-29 10:00:00+00:00
1782734400,0.002,9344.99,2026-06-29 12:00:00+00:00
1782738000,0.001,250.0,2026-06-29 13:00:00+00:00
1782741600,0.002,158.9,2026-06-29 14:00:00+00:00
1782745200,0.002,4268.3,2026-06-29 15:00:00+00:00
1782748800,0.002,5362.62,2026-06-29 16:00:00+00:00
1782756000,0.002,462.75,2026-06-29 18:00:00+00:00
1782759600,0.001,152.7,2026-06-29 19:00:00+00:00
1782763200,0.002,5596.35,2026-06-29 20:00:00+00:00
1782766800,0.002,102337.1,2026-06-29 21:00:00+00:00
1782770400,0.001,50506.5,2026-06-29 22:00:00+00:00
