ts,price,volume,dt
1782630000,0.012,19889.92,2026-06-28 07:00:00+00:00
1782633600,0.012,5143.04,2026-06-28 08:00:00+00:00
1782637200,0.012,1998.22,2026-06-28 09:00:00+00:00
1782640800,0.012,3893.95,2026-06-28 10:00:00+00:00
1782644400,0.012,2491.04,2026-06-28 11:00:00+00:00
1782648000,0.012,5670.74,2026-06-28 12:00:00+00:00
1782651600,0.012,6805.32,2026-06-28 13:00:00+00:00
1782655200,0.012,17346.56,2026-06-28 14:00:00+00:00
1782658800,0.01,63826.26,2026-06-28 15:00:00+00:00
1782662400,0.012,3625.84,2026-06-28 16:00:00+00:00
1782666000,0.012,9131.08,2026-06-28 17:00:00+00:00
1782669600,0.012,107778.93,2026-06-28 18:00:00+00:00
1782673200,0.011,6551.19,2026-06-28 19:00:00+00:00
1782676800,0.011,865.53,2026-06-28 20:00:00+00:00
1782680400,0.012,8293.08,2026-06-28 21:00:00+00:00
1782684000,0.012,26699.95,2026-06-28 22:00:00+00:00
1782687600,0.011,40081.66,2026-06-28 23:00:00+00:00
1782691200,0.011,12424.07,2026-06-29 00:00:00+00:00
1782694800,0.011,255700.14,2026-06-29 01:00:00+00:00
1782698400,0.011,105238.53,2026-06-29 02:00:00+00:00
1782702000,0.01,4323.86,2026-06-29 03:00:00+00:00
1782705600,0.011,5354.64,2026-06-29 04:00:00+00:00
1782709200,0.011,43271.28,2026-06-29 05:00:00+00:00
1782712800,0.011,17681.24,2026-06-29 06:00:00+00:00
1782716400,0.011,14621.04,2026-06-29 07:00:00+00:00
1782720000,0.01,10455.24,2026-06-29 08:00:00+00:00
1782727200,0.011,8501.81,2026-06-29 10:00:00+00:00
1782730800,0.011,170.0,2026-06-29 11:00:00+00:00
1782734400,0.011,7171.31,2026-06-29 12:00:00+00:00
1782738000,0.011,1125.47,2026-06-29 13:00:00+00:00
1782741600,0.011,1052.66,2026-06-29 14:00:00+00:00
1782745200,0.011,5212.77,2026-06-29 15:00:00+00:00
1782748800,0.011,2671.2,2026-06-29 16:00:00+00:00
1782752400,0.011,13041.29,2026-06-29 17:00:00+00:00
1782756000,0.011,4032.54,2026-06-29 18:00:00+00:00
1782759600,0.011,54641.98,2026-06-29 19:00:00+00:00
1782763200,0.01,573628.68,2026-06-29 20:00:00+00:00
1782766800,0.011,11470.94,2026-06-29 21:00:00+00:00
1782770400,0.01,111250.4,2026-06-29 22:00:00+00:00
1782774000,0.011,9944.05,2026-06-29 23:00:00+00:00
1782777600,0.011,34673.89,2026-06-30 00:00:00+00:00
1782781200,0.011,37720.34,2026-06-30 01:00:00+00:00
1782784800,0.011,3847.86,2026-06-30 02:00:00+00:00
1782788400,0.01,138478.63,2026-06-30 03:00:00+00:00
1782792000,0.012,48206.32,2026-06-30 04:00:00+00:00
1782795600,0.012,37360.07,2026-06-30 05:00:00+00:00
1782799200,0.012,45221.92,2026-06-30 06:00:00+00:00
1782802800,0.012,5567.25,2026-06-30 07:00:00+00:00
1782806400,0.012,15902.81,2026-06-30 08:00:00+00:00
1782810000,0.012,154.6,2026-06-30 09:00:00+00:00
1782813600,0.012,16683.78,2026-06-30 10:00:00+00:00
1782817200,0.012,4644.59,2026-06-30 11:00:00+00:00
1782820800,0.012,1634.36,2026-06-30 12:00:00+00:00
1782824400,0.012,1822.53,2026-06-30 13:00:00+00:00
1782828000,0.012,6536.8,2026-06-30 14:00:00+00:00
1782831600,0.011,5245.64,2026-06-30 15:00:00+00:00
1782835200,0.011,8393.18,2026-06-30 16:00:00+00:00
1782838800,0.011,40045.24,2026-06-30 17:00:00+00:00
1782842400,0.011,35806.66,2026-06-30 18:00:00+00:00
1782846000,0.011,12552.01,2026-06-30 19:00:00+00:00
1782849600,0.011,14554.09,2026-06-30 20:00:00+00:00
1782853200,0.011,6056.86,2026-06-30 21:00:00+00:00
1782856800,0.01,241857.63,2026-06-30 22:00:00+00:00
1782860400,0.01,21743.93,2026-06-30 23:00:00+00:00
