ts,price,volume,dt
1782630000,0.01,233.77,2026-06-28 07:00:00+00:00
1782633600,0.01,467.59,2026-06-28 08:00:00+00:00
1782644400,0.01,187.03,2026-06-28 11:00:00+00:00
1782658800,0.01,93.51,2026-06-28 15:00:00+00:00
1782662400,0.01,1402.78,2026-06-28 16:00:00+00:00
1782666000,0.01,374.05,2026-06-28 17:00:00+00:00
1782673200,0.01,280.54,2026-06-28 19:00:00+00:00
1782676800,0.01,280.54,2026-06-28 20:00:00+00:00
1782680400,0.01,93.51,2026-06-28 21:00:00+00:00
1782684000,0.01,922.49,2026-06-28 22:00:00+00:00
1782687600,0.01,1122.22,2026-06-28 23:00:00+00:00
1782691200,0.01,561.1,2026-06-29 00:00:00+00:00
1782694800,0.01,467.59,2026-06-29 01:00:00+00:00
1782698400,0.01,289.35,2026-06-29 02:00:00+00:00
1782702000,0.01,1870.37,2026-06-29 03:00:00+00:00
1782705600,0.01,567.59,2026-06-29 04:00:00+00:00
1782709200,0.01,102.87,2026-06-29 05:00:00+00:00
1782712800,0.01,1402.78,2026-06-29 06:00:00+00:00
1782716400,0.01,46.0,2026-06-29 07:00:00+00:00
1782730800,0.01,280.51,2026-06-29 11:00:00+00:00
1782741600,0.01,187.03,2026-06-29 14:00:00+00:00
1782745200,0.01,93.51,2026-06-29 15:00:00+00:00
1782748800,0.01,309.53,2026-06-29 16:00:00+00:00
1782756000,0.01,233.79,2026-06-29 18:00:00+00:00
1782763200,0.01,294.57,2026-06-29 20:00:00+00:00
1782766800,0.01,1028.69,2026-06-29 21:00:00+00:00
1782770400,0.01,48.62,2026-06-29 22:00:00+00:00
1782774000,0.01,467.57,2026-06-29 23:00:00+00:00
1782777600,0.01,2553.01,2026-06-30 00:00:00+00:00
1782781200,0.01,220.68,2026-06-30 01:00:00+00:00
1782784800,0.01,693.47,2026-06-30 02:00:00+00:00
1782788400,0.01,5914.0,2026-06-30 03:00:00+00:00
1782792000,0.01,280.54,2026-06-30 04:00:00+00:00
1782795600,0.01,6471.03,2026-06-30 05:00:00+00:00
1782799200,0.01,2995.38,2026-06-30 06:00:00+00:00
1782802800,0.01,374.04,2026-06-30 07:00:00+00:00
1782806400,0.01,1215.54,2026-06-30 08:00:00+00:00
1782810000,0.01,1870.37,2026-06-30 09:00:00+00:00
1782813600,0.01,93.51,2026-06-30 10:00:00+00:00
1782817200,0.01,9819.5,2026-06-30 11:00:00+00:00
1782824400,0.01,362.85,2026-06-30 13:00:00+00:00
1782828000,0.01,2501.61,2026-06-30 14:00:00+00:00
1782831600,0.01,2057.41,2026-06-30 15:00:00+00:00
1782835200,0.01,9445.42,2026-06-30 16:00:00+00:00
1782838800,0.01,1519.65,2026-06-30 17:00:00+00:00
1782842400,0.01,1502.84,2026-06-30 18:00:00+00:00
1782846000,0.01,229121.85,2026-06-30 19:00:00+00:00
1782849600,0.01,1402.76,2026-06-30 20:00:00+00:00
1782853200,0.01,267.44,2026-06-30 21:00:00+00:00
1782856800,0.01,2195.81,2026-06-30 22:00:00+00:00
1782860400,0.01,299.24,2026-06-30 23:00:00+00:00
1782864000,0.01,3001.74,2026-07-01 00:00:00+00:00
1782867600,0.01,3062.53,2026-07-01 01:00:00+00:00
1782871200,0.01,3507.86,2026-07-01 02:00:00+00:00
1782874800,0.01,467.57,2026-07-01 03:00:00+00:00
1782878400,0.01,1496.26,2026-07-01 04:00:00+00:00
1782882000,0.01,4920.36,2026-07-01 05:00:00+00:00
1782885600,0.01,3232.86,2026-07-01 06:00:00+00:00
1782889200,0.01,93.51,2026-07-01 07:00:00+00:00
1782892800,0.01,2712.01,2026-07-01 08:00:00+00:00
1782896400,0.01,375.06,2026-07-01 09:00:00+00:00
1782903600,0.01,66.33,2026-07-01 11:00:00+00:00
1782910800,0.01,93.51,2026-07-01 13:00:00+00:00
1782918000,0.01,654.62,2026-07-01 15:00:00+00:00
1782921600,0.01,187.02,2026-07-01 16:00:00+00:00
1782925200,0.01,1488.78,2026-07-01 17:00:00+00:00
1782928800,0.01,1131.56,2026-07-01 18:00:00+00:00
1782932400,0.01,420.81,2026-07-01 19:00:00+00:00
1782936000,0.01,1402.74,2026-07-01 20:00:00+00:00
1782939600,0.01,14801.78,2026-07-01 21:00:00+00:00
1782943200,0.01,2850.32,2026-07-01 22:00:00+00:00
1782946800,0.01,1736.33,2026-07-01 23:00:00+00:00
1782950400,0.01,1240.52,2026-07-02 00:00:00+00:00
1782954000,0.01,7672.6,2026-07-02 01:00:00+00:00
1782957600,0.01,1668.96,2026-07-02 02:00:00+00:00
1782961200,0.01,187.03,2026-07-02 03:00:00+00:00
