ts,price,volume,dt
1782630000,0.058,19433.8,2026-06-28 07:00:00+00:00
1782633600,0.055,16650.83,2026-06-28 08:00:00+00:00
1782637200,0.063,36608.41,2026-06-28 09:00:00+00:00
1782640800,0.055,4373.74,2026-06-28 10:00:00+00:00
1782644400,0.063,5597.2,2026-06-28 11:00:00+00:00
1782648000,0.063,24245.92,2026-06-28 12:00:00+00:00
1782651600,0.063,34255.16,2026-06-28 13:00:00+00:00
1782655200,0.063,29033.78,2026-06-28 14:00:00+00:00
1782658800,0.063,16052.38,2026-06-28 15:00:00+00:00
1782662400,0.063,20187.01,2026-06-28 16:00:00+00:00
1782666000,0.062,71552.36,2026-06-28 17:00:00+00:00
1782669600,0.062,169840.68,2026-06-28 18:00:00+00:00
1782673200,0.06,88563.32,2026-06-28 19:00:00+00:00
1782676800,0.061,37716.59,2026-06-28 20:00:00+00:00
1782680400,0.058,27674.67,2026-06-28 21:00:00+00:00
1782684000,0.061,101998.97,2026-06-28 22:00:00+00:00
1782687600,0.061,62593.72,2026-06-28 23:00:00+00:00
1782691200,0.061,64956.76,2026-06-29 00:00:00+00:00
1782694800,0.061,172846.33,2026-06-29 01:00:00+00:00
1782698400,0.06,35257.1,2026-06-29 02:00:00+00:00
1782702000,0.06,29285.6,2026-06-29 03:00:00+00:00
1782705600,0.06,40712.27,2026-06-29 04:00:00+00:00
1782709200,0.06,15491.83,2026-06-29 05:00:00+00:00
1782712800,0.06,27147.82,2026-06-29 06:00:00+00:00
1782716400,0.06,45780.32,2026-06-29 07:00:00+00:00
1782720000,0.06,15151.46,2026-06-29 08:00:00+00:00
1782723600,0.06,7669.58,2026-06-29 09:00:00+00:00
1782727200,0.06,4724.37,2026-06-29 10:00:00+00:00
1782730800,0.06,8567.18,2026-06-29 11:00:00+00:00
1782734400,0.059,15962.63,2026-06-29 12:00:00+00:00
1782738000,0.06,10529.16,2026-06-29 13:00:00+00:00
1782741600,0.06,33127.3,2026-06-29 14:00:00+00:00
1782745200,0.06,42283.46,2026-06-29 15:00:00+00:00
1782748800,0.06,109770.42,2026-06-29 16:00:00+00:00
1782752400,0.062,112554.43,2026-06-29 17:00:00+00:00
1782756000,0.032,309339.96,2026-06-29 18:00:00+00:00
1782759600,0.085,232040.78,2026-06-29 19:00:00+00:00
1782763200,0.077,145647.91,2026-06-29 20:00:00+00:00
1782766800,0.071,75978.39,2026-06-29 21:00:00+00:00
1782770400,0.071,78709.05,2026-06-29 22:00:00+00:00
1782774000,0.071,116316.38,2026-06-29 23:00:00+00:00
1782777600,0.071,132473.84,2026-06-30 00:00:00+00:00
