ts,price,volume,dt
1782630000,0.003,9329.05,2026-06-28 07:00:00+00:00
1782633600,0.003,21805.9,2026-06-28 08:00:00+00:00
1782637200,0.002,186392.12,2026-06-28 09:00:00+00:00
1782640800,0.002,8532.5,2026-06-28 10:00:00+00:00
1782644400,0.002,8897.45,2026-06-28 11:00:00+00:00
1782648000,0.002,61771.15,2026-06-28 12:00:00+00:00
1782651600,0.002,12730.03,2026-06-28 13:00:00+00:00
1782655200,0.002,11670.95,2026-06-28 14:00:00+00:00
1782658800,0.002,17815.3,2026-06-28 15:00:00+00:00
1782662400,0.002,180548.85,2026-06-28 16:00:00+00:00
1782666000,0.002,24054.25,2026-06-28 17:00:00+00:00
1782669600,0.002,107452.65,2026-06-28 18:00:00+00:00
1782673200,0.002,224354.93,2026-06-28 19:00:00+00:00
1782676800,0.002,85194.06,2026-06-28 20:00:00+00:00
1782680400,0.004,523694.38,2026-06-28 21:00:00+00:00
1782684000,0.003,223474.2,2026-06-28 22:00:00+00:00
1782687600,0.003,61829.52,2026-06-28 23:00:00+00:00
1782691200,0.003,33056.54,2026-06-29 00:00:00+00:00
1782694800,0.003,27631.98,2026-06-29 01:00:00+00:00
1782698400,0.003,4620.66,2026-06-29 02:00:00+00:00
1782702000,0.003,390835.76,2026-06-29 03:00:00+00:00
1782705600,0.003,51877.64,2026-06-29 04:00:00+00:00
1782709200,0.003,9608.48,2026-06-29 05:00:00+00:00
1782712800,0.003,2428.18,2026-06-29 06:00:00+00:00
1782716400,0.003,6228.66,2026-06-29 07:00:00+00:00
1782720000,0.003,400000.0,2026-06-29 08:00:00+00:00
1782723600,0.003,2174.89,2026-06-29 09:00:00+00:00
1782730800,0.003,310.0,2026-06-29 11:00:00+00:00
1782734400,0.003,9342.76,2026-06-29 12:00:00+00:00
1782738000,0.002,193.04,2026-06-29 13:00:00+00:00
1782741600,0.003,1863.33,2026-06-29 14:00:00+00:00
1782745200,0.002,40026.36,2026-06-29 15:00:00+00:00
1782748800,0.003,40532.52,2026-06-29 16:00:00+00:00
1782752400,0.003,4667.59,2026-06-29 17:00:00+00:00
1782756000,0.003,23099.11,2026-06-29 18:00:00+00:00
1782759600,0.002,80163.45,2026-06-29 19:00:00+00:00
1782763200,0.003,54171.87,2026-06-29 20:00:00+00:00
1782766800,0.003,31053.01,2026-06-29 21:00:00+00:00
1782770400,0.003,8422.88,2026-06-29 22:00:00+00:00
1782774000,0.003,109863.05,2026-06-29 23:00:00+00:00
1782777600,0.003,72256.86,2026-06-30 00:00:00+00:00
1782781200,0.003,225586.07,2026-06-30 01:00:00+00:00
1782784800,0.003,81099.1,2026-06-30 02:00:00+00:00
1782788400,0.002,77769.04,2026-06-30 03:00:00+00:00
1782792000,0.003,223987.4,2026-06-30 04:00:00+00:00
1782795600,0.003,162986.65,2026-06-30 05:00:00+00:00
1782799200,0.003,63189.91,2026-06-30 06:00:00+00:00
1782802800,0.003,18161.75,2026-06-30 07:00:00+00:00
1782806400,0.003,131339.08,2026-06-30 08:00:00+00:00
1782810000,0.004,21252.67,2026-06-30 09:00:00+00:00
1782813600,0.004,12825.28,2026-06-30 10:00:00+00:00
1782817200,0.004,2352.4,2026-06-30 11:00:00+00:00
1782820800,0.003,13273.77,2026-06-30 12:00:00+00:00
1782824400,0.004,50943.01,2026-06-30 13:00:00+00:00
1782828000,0.003,1888.56,2026-06-30 14:00:00+00:00
1782831600,0.003,12469.87,2026-06-30 15:00:00+00:00
1782835200,0.003,28223.3,2026-06-30 16:00:00+00:00
1782838800,0.004,112542.2,2026-06-30 17:00:00+00:00
1782842400,0.003,29759.61,2026-06-30 18:00:00+00:00
1782846000,0.003,6629.65,2026-06-30 19:00:00+00:00
1782849600,0.003,52141.17,2026-06-30 20:00:00+00:00
1782853200,0.003,102927.03,2026-06-30 21:00:00+00:00
1782856800,0.004,138346.58,2026-06-30 22:00:00+00:00
1782860400,0.003,17420.93,2026-06-30 23:00:00+00:00
1782864000,0.003,60812.54,2026-07-01 00:00:00+00:00
1782867600,0.003,70152.18,2026-07-01 01:00:00+00:00
