ts,price,volume,dt
1782630000,0.01,3186.57,2026-06-28 07:00:00+00:00
1782633600,0.01,7013.92,2026-06-28 08:00:00+00:00
1782637200,0.01,54675.95,2026-06-28 09:00:00+00:00
1782640800,0.009,145444.52,2026-06-28 10:00:00+00:00
1782644400,0.009,2382.74,2026-06-28 11:00:00+00:00
1782648000,0.009,8311.97,2026-06-28 12:00:00+00:00
1782651600,0.009,51.11,2026-06-28 13:00:00+00:00
1782655200,0.009,206.8,2026-06-28 14:00:00+00:00
1782658800,0.009,305.0,2026-06-28 15:00:00+00:00
1782662400,0.009,3423.95,2026-06-28 16:00:00+00:00
1782666000,0.009,4361.64,2026-06-28 17:00:00+00:00
1782669600,0.009,1191.76,2026-06-28 18:00:00+00:00
1782673200,0.009,11447.07,2026-06-28 19:00:00+00:00
1782676800,0.008,41638.41,2026-06-28 20:00:00+00:00
1782680400,0.009,2490.9,2026-06-28 21:00:00+00:00
1782684000,0.009,13847.55,2026-06-28 22:00:00+00:00
1782687600,0.009,5919.4,2026-06-28 23:00:00+00:00
1782691200,0.008,101739.71,2026-06-29 00:00:00+00:00
1782694800,0.009,13811.83,2026-06-29 01:00:00+00:00
1782698400,0.009,55194.13,2026-06-29 02:00:00+00:00
1782702000,0.009,301660.27,2026-06-29 03:00:00+00:00
1782705600,0.009,1660.27,2026-06-29 04:00:00+00:00
1782709200,0.009,1038.4,2026-06-29 05:00:00+00:00
1782712800,0.009,2180.2,2026-06-29 06:00:00+00:00
1782716400,0.009,2596.37,2026-06-29 07:00:00+00:00
1782720000,0.009,861.72,2026-06-29 08:00:00+00:00
1782727200,0.009,1235.2,2026-06-29 10:00:00+00:00
1782738000,0.009,980.18,2026-06-29 13:00:00+00:00
1782741600,0.009,206.77,2026-06-29 14:00:00+00:00
1782745200,0.009,725.27,2026-06-29 15:00:00+00:00
1782748800,0.009,6852.87,2026-06-29 16:00:00+00:00
1782752400,0.009,208.4,2026-06-29 17:00:00+00:00
1782756000,0.009,362.12,2026-06-29 18:00:00+00:00
1782759600,0.009,10725.24,2026-06-29 19:00:00+00:00
