ts,price,volume,dt
1782630000,0.002,307035.98,2026-06-28 07:00:00+00:00
1782633600,0.003,31848.23,2026-06-28 08:00:00+00:00
1782637200,0.003,6536.66,2026-06-28 09:00:00+00:00
1782640800,0.003,17131.33,2026-06-28 10:00:00+00:00
1782644400,0.003,3732.82,2026-06-28 11:00:00+00:00
1782648000,0.003,2486.49,2026-06-28 12:00:00+00:00
1782651600,0.003,1863.33,2026-06-28 13:00:00+00:00
1782655200,0.003,308.5,2026-06-28 14:00:00+00:00
1782658800,0.003,12862.3,2026-06-28 15:00:00+00:00
1782662400,0.003,23143.7,2026-06-28 16:00:00+00:00
1782666000,0.003,34762.64,2026-06-28 17:00:00+00:00
1782669600,0.003,94404.89,2026-06-28 18:00:00+00:00
1782673200,0.003,5391.76,2026-06-28 19:00:00+00:00
1782676800,0.003,4167.16,2026-06-28 20:00:00+00:00
1782680400,0.003,25176.47,2026-06-28 21:00:00+00:00
1782684000,0.003,52842.95,2026-06-28 22:00:00+00:00
1782687600,0.003,11242.29,2026-06-28 23:00:00+00:00
1782691200,0.003,2291.42,2026-06-29 00:00:00+00:00
1782694800,0.003,4011.78,2026-06-29 01:00:00+00:00
1782698400,0.003,31773.9,2026-06-29 02:00:00+00:00
1782702000,0.003,1988.83,2026-06-29 03:00:00+00:00
1782705600,0.003,19872.51,2026-06-29 04:00:00+00:00
1782709200,0.003,162641.49,2026-06-29 05:00:00+00:00
1782712800,0.003,3017.96,2026-06-29 06:00:00+00:00
1782716400,0.003,7830.0,2026-06-29 07:00:00+00:00
1782720000,0.003,2486.49,2026-06-29 08:00:00+00:00
1782723600,0.003,10626.42,2026-06-29 09:00:00+00:00
1782727200,0.003,308.5,2026-06-29 10:00:00+00:00
1782730800,0.003,216.95,2026-06-29 11:00:00+00:00
1782734400,0.003,9339.66,2026-06-29 12:00:00+00:00
1782738000,0.003,7026.72,2026-06-29 13:00:00+00:00
1782741600,0.003,620.06,2026-06-29 14:00:00+00:00
1782745200,0.003,33328.73,2026-06-29 15:00:00+00:00
1782748800,0.003,39943.89,2026-06-29 16:00:00+00:00
1782752400,0.003,34421.17,2026-06-29 17:00:00+00:00
1782756000,0.003,416568.87,2026-06-29 18:00:00+00:00
1782759600,0.003,32503.02,2026-06-29 19:00:00+00:00
1782763200,0.003,37522.7,2026-06-29 20:00:00+00:00
1782766800,0.003,12820.7,2026-06-29 21:00:00+00:00
1782770400,0.003,5657.61,2026-06-29 22:00:00+00:00
1782774000,0.003,7395.54,2026-06-29 23:00:00+00:00
1782777600,0.003,85358.02,2026-06-30 00:00:00+00:00
1782781200,0.003,18317.44,2026-06-30 01:00:00+00:00
1782784800,0.003,8876.31,2026-06-30 02:00:00+00:00
1782788400,0.003,78901.23,2026-06-30 03:00:00+00:00
1782792000,0.003,10369.79,2026-06-30 04:00:00+00:00
1782795600,0.003,144385.87,2026-06-30 05:00:00+00:00
1782799200,0.003,83301.62,2026-06-30 06:00:00+00:00
1782802800,0.003,9482.37,2026-06-30 07:00:00+00:00
1782806400,0.002,355288.14,2026-06-30 08:00:00+00:00
1782810000,0.003,8881.36,2026-06-30 09:00:00+00:00
1782813600,0.003,113863.06,2026-06-30 10:00:00+00:00
1782817200,0.003,112479.42,2026-06-30 11:00:00+00:00
1782820800,0.003,6845.59,2026-06-30 12:00:00+00:00
1782824400,0.003,43473.94,2026-06-30 13:00:00+00:00
1782828000,0.003,13267.29,2026-06-30 14:00:00+00:00
1782831600,0.003,73838.96,2026-06-30 15:00:00+00:00
1782835200,0.003,160907.62,2026-06-30 16:00:00+00:00
1782838800,0.003,95153.24,2026-06-30 17:00:00+00:00
1782842400,0.002,1878165.19,2026-06-30 18:00:00+00:00
1782846000,0.001,410516.8,2026-06-30 19:00:00+00:00
