ts,price,volume,dt
1782630000,0.026,71643.03,2026-06-28 07:00:00+00:00
1782633600,0.025,8428.89,2026-06-28 08:00:00+00:00
1782637200,0.025,26547.38,2026-06-28 09:00:00+00:00
1782640800,0.025,12743.26,2026-06-28 10:00:00+00:00
1782644400,0.025,10954.22,2026-06-28 11:00:00+00:00
1782648000,0.025,22370.84,2026-06-28 12:00:00+00:00
1782651600,0.025,89131.37,2026-06-28 13:00:00+00:00
1782655200,0.025,58613.71,2026-06-28 14:00:00+00:00
1782658800,0.026,35789.22,2026-06-28 15:00:00+00:00
1782662400,0.026,49515.93,2026-06-28 16:00:00+00:00
1782666000,0.026,80521.85,2026-06-28 17:00:00+00:00
1782669600,0.026,145606.03,2026-06-28 18:00:00+00:00
1782673200,0.025,87012.66,2026-06-28 19:00:00+00:00
1782676800,0.027,32901.08,2026-06-28 20:00:00+00:00
1782680400,0.027,54273.32,2026-06-28 21:00:00+00:00
1782684000,0.026,60307.73,2026-06-28 22:00:00+00:00
1782687600,0.026,34783.82,2026-06-28 23:00:00+00:00
1782691200,0.026,59237.13,2026-06-29 00:00:00+00:00
1782694800,0.026,25338.0,2026-06-29 01:00:00+00:00
1782698400,0.026,46148.02,2026-06-29 02:00:00+00:00
1782702000,0.026,48865.24,2026-06-29 03:00:00+00:00
1782705600,0.026,68477.24,2026-06-29 04:00:00+00:00
1782709200,0.026,30208.98,2026-06-29 05:00:00+00:00
1782712800,0.026,35904.65,2026-06-29 06:00:00+00:00
1782716400,0.026,45241.87,2026-06-29 07:00:00+00:00
1782720000,0.026,17394.22,2026-06-29 08:00:00+00:00
1782723600,0.026,2332.67,2026-06-29 09:00:00+00:00
1782727200,0.026,2633.31,2026-06-29 10:00:00+00:00
1782730800,0.026,4706.42,2026-06-29 11:00:00+00:00
1782734400,0.026,597.5,2026-06-29 12:00:00+00:00
1782738000,0.026,46356.86,2026-06-29 13:00:00+00:00
1782741600,0.026,15187.47,2026-06-29 14:00:00+00:00
1782745200,0.026,41591.96,2026-06-29 15:00:00+00:00
1782748800,0.027,67930.97,2026-06-29 16:00:00+00:00
1782752400,0.027,75058.6,2026-06-29 17:00:00+00:00
1782756000,0.03,185483.56,2026-06-29 18:00:00+00:00
1782759600,0.029,15369.81,2026-06-29 19:00:00+00:00
1782763200,0.029,249066.86,2026-06-29 20:00:00+00:00
1782766800,0.027,34806.28,2026-06-29 21:00:00+00:00
1782770400,0.027,53480.32,2026-06-29 22:00:00+00:00
1782774000,0.028,26835.18,2026-06-29 23:00:00+00:00
1782777600,0.027,49784.29,2026-06-30 00:00:00+00:00
1782781200,0.028,87589.58,2026-06-30 01:00:00+00:00
1782784800,0.028,79100.04,2026-06-30 02:00:00+00:00
1782788400,0.028,48356.36,2026-06-30 03:00:00+00:00
1782792000,0.028,76052.12,2026-06-30 04:00:00+00:00
1782795600,0.028,125682.57,2026-06-30 05:00:00+00:00
1782799200,0.028,51052.95,2026-06-30 06:00:00+00:00
1782802800,0.028,111496.9,2026-06-30 07:00:00+00:00
1782806400,0.029,31518.41,2026-06-30 08:00:00+00:00
1782810000,0.028,85920.76,2026-06-30 09:00:00+00:00
1782813600,0.028,9889.86,2026-06-30 10:00:00+00:00
1782817200,0.028,9568.25,2026-06-30 11:00:00+00:00
1782820800,0.029,12332.57,2026-06-30 12:00:00+00:00
1782824400,0.029,108538.09,2026-06-30 13:00:00+00:00
1782828000,0.028,20270.9,2026-06-30 14:00:00+00:00
1782831600,0.028,35883.88,2026-06-30 15:00:00+00:00
1782835200,0.028,71020.54,2026-06-30 16:00:00+00:00
1782838800,0.03,35738.65,2026-06-30 17:00:00+00:00
1782842400,0.03,39073.55,2026-06-30 18:00:00+00:00
1782846000,0.029,13371.76,2026-06-30 19:00:00+00:00
1782849600,0.029,28170.58,2026-06-30 20:00:00+00:00
1782853200,0.028,30707.55,2026-06-30 21:00:00+00:00
1782856800,0.029,27354.02,2026-06-30 22:00:00+00:00
1782860400,0.029,74199.31,2026-06-30 23:00:00+00:00
1782864000,0.029,42547.67,2026-07-01 00:00:00+00:00
1782867600,0.028,31451.06,2026-07-01 01:00:00+00:00
1782871200,0.027,25544.2,2026-07-01 02:00:00+00:00
1782874800,0.028,30728.38,2026-07-01 03:00:00+00:00
1782878400,0.028,50798.93,2026-07-01 04:00:00+00:00
1782882000,0.028,153767.54,2026-07-01 05:00:00+00:00
1782885600,0.028,126823.03,2026-07-01 06:00:00+00:00
1782889200,0.028,17209.34,2026-07-01 07:00:00+00:00
1782892800,0.028,7149.29,2026-07-01 08:00:00+00:00
1782896400,0.028,28782.99,2026-07-01 09:00:00+00:00
1782900000,0.028,475.5,2026-07-01 10:00:00+00:00
