ts,price,volume,dt
1782630000,0.01,84444.44,2026-06-28 07:00:00+00:00
1782633600,0.01,2349.19,2026-06-28 08:00:00+00:00
1782637200,0.01,93.51,2026-06-28 09:00:00+00:00
1782640800,0.01,467.59,2026-06-28 10:00:00+00:00
1782644400,0.01,280.55,2026-06-28 11:00:00+00:00
1782648000,0.01,2337.97,2026-06-28 12:00:00+00:00
1782651600,0.01,1455.22,2026-06-28 13:00:00+00:00
1782655200,0.01,2899.08,2026-06-28 14:00:00+00:00
1782658800,0.01,187.02,2026-06-28 15:00:00+00:00
1782662400,0.01,1122.19,2026-06-28 16:00:00+00:00
1782666000,0.01,374.05,2026-06-28 17:00:00+00:00
1782669600,0.01,65.46,2026-06-28 18:00:00+00:00
1782673200,0.01,341.33,2026-06-28 19:00:00+00:00
1782676800,0.01,10006.53,2026-06-28 20:00:00+00:00
1782680400,0.01,8382.21,2026-06-28 21:00:00+00:00
1782684000,0.01,10755.6,2026-06-28 22:00:00+00:00
1782687600,0.01,6565.94,2026-06-28 23:00:00+00:00
1782691200,0.01,935.19,2026-06-29 00:00:00+00:00
1782694800,0.01,1903.37,2026-06-29 01:00:00+00:00
1782698400,0.01,5454.96,2026-06-29 02:00:00+00:00
1782702000,0.01,981.93,2026-06-29 03:00:00+00:00
1782705600,0.01,1028.7,2026-06-29 04:00:00+00:00
1782709200,0.01,2105.11,2026-06-29 05:00:00+00:00
1782712800,0.01,292.64,2026-06-29 06:00:00+00:00
1782716400,0.01,329.18,2026-06-29 07:00:00+00:00
1782723600,0.01,280.55,2026-06-29 09:00:00+00:00
1782730800,0.01,93.0,2026-06-29 11:00:00+00:00
1782738000,0.01,1028.71,2026-06-29 13:00:00+00:00
1782741600,0.01,187.03,2026-06-29 14:00:00+00:00
1782745200,0.01,187.02,2026-06-29 15:00:00+00:00
1782748800,0.01,327.29,2026-06-29 16:00:00+00:00
1782752400,0.01,1589.29,2026-06-29 17:00:00+00:00
1782756000,0.01,197.02,2026-06-29 18:00:00+00:00
1782759600,0.01,8182.89,2026-06-29 19:00:00+00:00
1782763200,0.01,1710.8,2026-06-29 20:00:00+00:00
1782766800,0.01,193.57,2026-06-29 21:00:00+00:00
1782770400,0.01,285.21,2026-06-29 22:00:00+00:00
1782774000,0.01,1687.99,2026-06-29 23:00:00+00:00
1782777600,0.01,1589.78,2026-06-30 00:00:00+00:00
1782781200,0.01,8634.71,2026-06-30 01:00:00+00:00
1782784800,0.01,817.63,2026-06-30 02:00:00+00:00
1782788400,0.01,2510.03,2026-06-30 03:00:00+00:00
1782792000,0.01,1122.21,2026-06-30 04:00:00+00:00
1782795600,0.01,7618.91,2026-06-30 05:00:00+00:00
1782799200,0.01,2150.9,2026-06-30 06:00:00+00:00
1782802800,0.01,2057.17,2026-06-30 07:00:00+00:00
1782806400,0.01,1045.19,2026-06-30 08:00:00+00:00
1782813600,0.01,93.51,2026-06-30 10:00:00+00:00
1782817200,0.01,467.59,2026-06-30 11:00:00+00:00
1782820800,0.01,187.03,2026-06-30 12:00:00+00:00
1782824400,0.01,1024.96,2026-06-30 13:00:00+00:00
1782828000,0.01,4805.41,2026-06-30 14:00:00+00:00
1782831600,0.01,1449.52,2026-06-30 15:00:00+00:00
1782835200,0.01,1463.37,2026-06-30 16:00:00+00:00
1782838800,0.01,936.16,2026-06-30 17:00:00+00:00
1782842400,0.01,11315.21,2026-06-30 18:00:00+00:00
1782849600,0.01,5428.3,2026-06-30 20:00:00+00:00
1782853200,0.01,679.87,2026-06-30 21:00:00+00:00
1782856800,0.01,2431.48,2026-06-30 22:00:00+00:00
1782860400,0.01,280.54,2026-06-30 23:00:00+00:00
1782864000,0.01,2962.42,2026-07-01 00:00:00+00:00
1782867600,0.01,2453.6,2026-07-01 01:00:00+00:00
1782871200,0.01,6664.16,2026-07-01 02:00:00+00:00
1782874800,0.01,1459.02,2026-07-01 03:00:00+00:00
1782878400,0.01,2071.28,2026-07-01 04:00:00+00:00
1782882000,0.01,6344.24,2026-07-01 05:00:00+00:00
1782885600,0.01,16878.22,2026-07-01 06:00:00+00:00
1782889200,0.01,1480.39,2026-07-01 07:00:00+00:00
1782892800,0.01,7431.3,2026-07-01 08:00:00+00:00
1782896400,0.01,320.75,2026-07-01 09:00:00+00:00
1782907200,0.01,654.62,2026-07-01 12:00:00+00:00
1782910800,0.01,2876.01,2026-07-01 13:00:00+00:00
1782914400,0.01,1059.94,2026-07-01 14:00:00+00:00
1782918000,0.01,5517.59,2026-07-01 15:00:00+00:00
1782921600,0.01,2281.63,2026-07-01 16:00:00+00:00
1782925200,0.01,124986.45,2026-07-01 17:00:00+00:00
1782928800,0.01,147874.02,2026-07-01 18:00:00+00:00
1782932400,0.01,187.03,2026-07-01 19:00:00+00:00
