ts,price,volume,dt
1782630000,0.002,19237.24,2026-06-28 07:00:00+00:00
1782633600,0.002,7780.7,2026-06-28 08:00:00+00:00
1782637200,0.002,24549.15,2026-06-28 09:00:00+00:00
1782640800,0.002,233670.8,2026-06-28 10:00:00+00:00
1782644400,0.002,9459.9,2026-06-28 11:00:00+00:00
1782648000,0.002,2333.2,2026-06-28 12:00:00+00:00
1782651600,0.002,7795.95,2026-06-28 13:00:00+00:00
1782655200,0.002,5521.4,2026-06-28 14:00:00+00:00
1782658800,0.002,6052.92,2026-06-28 15:00:00+00:00
1782662400,0.002,86767.94,2026-06-28 16:00:00+00:00
1782666000,0.002,46440.98,2026-06-28 17:00:00+00:00
1782669600,0.002,43201.61,2026-06-28 18:00:00+00:00
1782673200,0.002,74854.39,2026-06-28 19:00:00+00:00
1782676800,0.002,45818.44,2026-06-28 20:00:00+00:00
1782680400,0.002,81959.33,2026-06-28 21:00:00+00:00
1782684000,0.002,22671.65,2026-06-28 22:00:00+00:00
1782687600,0.002,64822.3,2026-06-28 23:00:00+00:00
1782691200,0.002,98723.22,2026-06-29 00:00:00+00:00
1782694800,0.002,15410.81,2026-06-29 01:00:00+00:00
1782698400,0.002,140739.4,2026-06-29 02:00:00+00:00
1782702000,0.002,18399.05,2026-06-29 03:00:00+00:00
1782705600,0.002,49747.97,2026-06-29 04:00:00+00:00
1782709200,0.002,54114.8,2026-06-29 05:00:00+00:00
1782712800,0.002,26067.85,2026-06-29 06:00:00+00:00
1782716400,0.002,115730.7,2026-06-29 07:00:00+00:00
1782720000,0.002,5811.35,2026-06-29 08:00:00+00:00
1782723600,0.002,2091.41,2026-06-29 09:00:00+00:00
1782727200,0.001,51627.91,2026-06-29 10:00:00+00:00
1782730800,0.002,109884.88,2026-06-29 11:00:00+00:00
1782734400,0.002,3816.88,2026-06-29 12:00:00+00:00
1782738000,0.001,31973.2,2026-06-29 13:00:00+00:00
1782741600,0.001,35870.33,2026-06-29 14:00:00+00:00
1782745200,0.002,32255.5,2026-06-29 15:00:00+00:00
1782748800,0.002,49634.09,2026-06-29 16:00:00+00:00
1782752400,0.002,51593.94,2026-06-29 17:00:00+00:00
1782756000,0.002,50534.67,2026-06-29 18:00:00+00:00
1782759600,0.002,106228.29,2026-06-29 19:00:00+00:00
1782763200,0.002,84049.1,2026-06-29 20:00:00+00:00
1782766800,0.002,55638.75,2026-06-29 21:00:00+00:00
1782770400,0.002,53592.09,2026-06-29 22:00:00+00:00
1782774000,0.002,157829.03,2026-06-29 23:00:00+00:00
1782777600,0.002,176395.89,2026-06-30 00:00:00+00:00
1782781200,0.002,126930.46,2026-06-30 01:00:00+00:00
1782784800,0.002,168075.98,2026-06-30 02:00:00+00:00
1782788400,0.002,86615.36,2026-06-30 03:00:00+00:00
1782792000,0.002,58748.67,2026-06-30 04:00:00+00:00
1782795600,0.002,297529.53,2026-06-30 05:00:00+00:00
1782799200,0.002,82944.98,2026-06-30 06:00:00+00:00
1782802800,0.002,78293.23,2026-06-30 07:00:00+00:00
1782806400,0.002,76599.95,2026-06-30 08:00:00+00:00
1782810000,0.002,46013.45,2026-06-30 09:00:00+00:00
1782813600,0.002,8859.39,2026-06-30 10:00:00+00:00
1782817200,0.002,26620.1,2026-06-30 11:00:00+00:00
1782820800,0.002,48671.37,2026-06-30 12:00:00+00:00
1782824400,0.002,16444.65,2026-06-30 13:00:00+00:00
1782828000,0.002,51189.47,2026-06-30 14:00:00+00:00
1782831600,0.002,104961.82,2026-06-30 15:00:00+00:00
1782835200,0.001,77446.75,2026-06-30 16:00:00+00:00
1782838800,0.002,89733.45,2026-06-30 17:00:00+00:00
1782842400,0.002,203929.45,2026-06-30 18:00:00+00:00
1782846000,0.002,129738.05,2026-06-30 19:00:00+00:00
1782849600,0.002,253914.82,2026-06-30 20:00:00+00:00
1782853200,0.002,29792.94,2026-06-30 21:00:00+00:00
1782856800,0.002,137766.23,2026-06-30 22:00:00+00:00
1782860400,0.002,208916.0,2026-06-30 23:00:00+00:00
1782864000,0.001,262188.34,2026-07-01 00:00:00+00:00
1782867600,0.001,403925.6,2026-07-01 01:00:00+00:00
1782871200,0.002,285610.25,2026-07-01 02:00:00+00:00
1782874800,0.002,121363.96,2026-07-01 03:00:00+00:00
1782878400,0.002,133615.73,2026-07-01 04:00:00+00:00
1782882000,0.002,409738.39,2026-07-01 05:00:00+00:00
1782885600,0.002,145361.05,2026-07-01 06:00:00+00:00
1782889200,0.002,190516.95,2026-07-01 07:00:00+00:00
1782892800,0.002,165276.17,2026-07-01 08:00:00+00:00
1782896400,0.002,280987.68,2026-07-01 09:00:00+00:00
1782900000,0.002,46353.05,2026-07-01 10:00:00+00:00
1782903600,0.002,40055.05,2026-07-01 11:00:00+00:00
1782907200,0.002,5582.75,2026-07-01 12:00:00+00:00
1782910800,0.002,30013.55,2026-07-01 13:00:00+00:00
1782914400,0.002,25005.99,2026-07-01 14:00:00+00:00
1782918000,0.002,40465.5,2026-07-01 15:00:00+00:00
1782921600,0.002,78346.52,2026-07-01 16:00:00+00:00
1782925200,0.002,75804.89,2026-07-01 17:00:00+00:00
1782928800,0.002,164906.84,2026-07-01 18:00:00+00:00
1782932400,0.002,229511.91,2026-07-01 19:00:00+00:00
1782936000,0.002,30577.25,2026-07-01 20:00:00+00:00
1782939600,0.002,42586.85,2026-07-01 21:00:00+00:00
1782943200,0.002,213932.56,2026-07-01 22:00:00+00:00
1782946800,0.002,68713.2,2026-07-01 23:00:00+00:00
1782950400,0.002,103669.46,2026-07-02 00:00:00+00:00
1782954000,0.002,101031.74,2026-07-02 01:00:00+00:00
1782957600,0.002,59931.78,2026-07-02 02:00:00+00:00
1782961200,0.002,291651.31,2026-07-02 03:00:00+00:00
1782964800,0.002,113881.72,2026-07-02 04:00:00+00:00
1782968400,0.002,130604.08,2026-07-02 05:00:00+00:00
1782972000,0.002,36818.88,2026-07-02 06:00:00+00:00
1782975600,0.002,114762.67,2026-07-02 07:00:00+00:00
1782986400,0.002,31424.0,2026-07-02 10:00:00+00:00
1782990000,0.002,27109.26,2026-07-02 11:00:00+00:00
1782993600,0.002,9332.1,2026-07-02 12:00:00+00:00
1782997200,0.002,5133.6,2026-07-02 13:00:00+00:00
1783000800,0.002,64845.14,2026-07-02 14:00:00+00:00
1783004400,0.002,29794.11,2026-07-02 15:00:00+00:00
1783008000,0.002,44887.27,2026-07-02 16:00:00+00:00
1783011600,0.002,126293.97,2026-07-02 17:00:00+00:00
1783015200,0.002,158308.09,2026-07-02 18:00:00+00:00
1783018800,0.002,201641.27,2026-07-02 19:00:00+00:00
1783022400,0.002,99287.55,2026-07-02 20:00:00+00:00
1783026000,0.002,79549.15,2026-07-02 21:00:00+00:00
1783029600,0.002,77076.15,2026-07-02 22:00:00+00:00
1783033200,0.002,161727.85,2026-07-02 23:00:00+00:00
1783036800,0.002,104223.9,2026-07-03 00:00:00+00:00
1783040400,0.002,50409.61,2026-07-03 01:00:00+00:00
1783044000,0.001,436861.52,2026-07-03 02:00:00+00:00
1783047600,0.001,1042472.82,2026-07-03 03:00:00+00:00
1783051200,0.002,378619.93,2026-07-03 04:00:00+00:00
1783054800,0.001,115656.43,2026-07-03 05:00:00+00:00
1783058400,0.001,167016.12,2026-07-03 06:00:00+00:00
1783062000,0.002,34100.76,2026-07-03 07:00:00+00:00
1783065600,0.002,36462.62,2026-07-03 08:00:00+00:00
1783069200,0.002,18793.23,2026-07-03 09:00:00+00:00
1783072800,0.002,22097.22,2026-07-03 10:00:00+00:00
1783076400,0.002,5133.6,2026-07-03 11:00:00+00:00
1783080000,0.002,56687.64,2026-07-03 12:00:00+00:00
1783083600,0.002,127579.35,2026-07-03 13:00:00+00:00
1783087200,0.001,137615.54,2026-07-03 14:00:00+00:00
1783090800,0.001,85441.26,2026-07-03 15:00:00+00:00
1783094400,0.002,230237.65,2026-07-03 16:00:00+00:00
