ts,price,volume,dt
1782630000,0.037,23319.55,2026-06-28 07:00:00+00:00
1782633600,0.037,6492.55,2026-06-28 08:00:00+00:00
1782637200,0.037,3704.8,2026-06-28 09:00:00+00:00
1782640800,0.037,13266.43,2026-06-28 10:00:00+00:00
1782644400,0.037,3740.43,2026-06-28 11:00:00+00:00
1782648000,0.037,6422.41,2026-06-28 12:00:00+00:00
1782651600,0.037,4466.34,2026-06-28 13:00:00+00:00
1782655200,0.037,27415.97,2026-06-28 14:00:00+00:00
1782658800,0.037,18675.8,2026-06-28 15:00:00+00:00
1782662400,0.036,19164.03,2026-06-28 16:00:00+00:00
1782666000,0.036,22089.2,2026-06-28 17:00:00+00:00
1782669600,0.037,14789.75,2026-06-28 18:00:00+00:00
1782673200,0.037,40454.38,2026-06-28 19:00:00+00:00
1782676800,0.037,57744.04,2026-06-28 20:00:00+00:00
1782680400,0.037,228467.0,2026-06-28 21:00:00+00:00
1782684000,0.037,60615.2,2026-06-28 22:00:00+00:00
1782687600,0.037,31277.15,2026-06-28 23:00:00+00:00
1782691200,0.036,21971.87,2026-06-29 00:00:00+00:00
1782694800,0.037,17179.8,2026-06-29 01:00:00+00:00
1782698400,0.037,33103.64,2026-06-29 02:00:00+00:00
1782702000,0.037,319943.16,2026-06-29 03:00:00+00:00
1782705600,0.036,9713.21,2026-06-29 04:00:00+00:00
1782709200,0.037,6844.21,2026-06-29 05:00:00+00:00
1782712800,0.037,8014.61,2026-06-29 06:00:00+00:00
1782716400,0.037,7231.95,2026-06-29 07:00:00+00:00
1782720000,0.037,5809.14,2026-06-29 08:00:00+00:00
1782723600,0.037,12409.06,2026-06-29 09:00:00+00:00
1782727200,0.037,1445.62,2026-06-29 10:00:00+00:00
1782730800,0.036,9894.55,2026-06-29 11:00:00+00:00
1782734400,0.037,6678.18,2026-06-29 12:00:00+00:00
1782738000,0.037,30289.67,2026-06-29 13:00:00+00:00
1782741600,0.037,40601.17,2026-06-29 14:00:00+00:00
1782745200,0.036,88037.0,2026-06-29 15:00:00+00:00
1782748800,0.036,229547.29,2026-06-29 16:00:00+00:00
1782752400,0.04,17948.81,2026-06-29 17:00:00+00:00
1782756000,0.039,22988.61,2026-06-29 18:00:00+00:00
1782759600,0.039,68042.08,2026-06-29 19:00:00+00:00
1782763200,0.044,275647.68,2026-06-29 20:00:00+00:00
1782766800,0.042,41513.81,2026-06-29 21:00:00+00:00
1782770400,0.045,351243.8,2026-06-29 22:00:00+00:00
1782774000,0.032,91677.6,2026-06-29 23:00:00+00:00
1782777600,0.001,358582.66,2026-06-30 00:00:00+00:00
1782781200,0.001,54291.34,2026-06-30 01:00:00+00:00
