ts,price,volume,dt
1782630000,0.001,3250.8,2026-06-28 07:00:00+00:00
1782633600,0.001,11292.8,2026-06-28 08:00:00+00:00
1782637200,0.001,11187.9,2026-06-28 09:00:00+00:00
1782640800,0.001,4663.9,2026-06-28 10:00:00+00:00
1782644400,0.001,1860.0,2026-06-28 11:00:00+00:00
1782648000,0.001,4663.9,2026-06-28 12:00:00+00:00
1782651600,0.001,100922.9,2026-06-28 13:00:00+00:00
1782655200,0.001,42272.8,2026-06-28 14:00:00+00:00
1782662400,0.001,11187.8,2026-06-28 16:00:00+00:00
1782666000,0.001,6136.2,2026-06-28 17:00:00+00:00
1782673200,0.001,4159.6,2026-06-28 19:00:00+00:00
1782676800,0.001,50433.5,2026-06-28 20:00:00+00:00
1782680400,0.001,11187.9,2026-06-28 21:00:00+00:00
1782684000,0.001,136435.6,2026-06-28 22:00:00+00:00
1782687600,0.001,48564.4,2026-06-28 23:00:00+00:00
1782691200,0.001,10262.5,2026-06-29 00:00:00+00:00
1782694800,0.001,5679.4,2026-06-29 01:00:00+00:00
1782705600,0.001,10262.5,2026-06-29 04:00:00+00:00
1782709200,0.001,10729.8,2026-06-29 05:00:00+00:00
1782712800,0.001,13290.9,2026-06-29 06:00:00+00:00
1782734400,0.001,34860.61,2026-06-29 12:00:00+00:00
1782741600,0.001,8383.9,2026-06-29 14:00:00+00:00
1782745200,0.001,12275.4,2026-06-29 15:00:00+00:00
1782748800,0.001,53178.4,2026-06-29 16:00:00+00:00
1782756000,0.001,45778.82,2026-06-29 18:00:00+00:00
1782763200,0.001,6514.7,2026-06-29 20:00:00+00:00
1782766800,0.001,4698.9,2026-06-29 21:00:00+00:00
1782770400,0.001,9882.6,2026-06-29 22:00:00+00:00
1782774000,0.001,5191.0,2026-06-29 23:00:00+00:00
1782777600,0.001,9317.6,2026-06-30 00:00:00+00:00
1782781200,0.001,171665.0,2026-06-30 01:00:00+00:00
1782784800,0.001,7534.8,2026-06-30 02:00:00+00:00
1782788400,0.001,13968.7,2026-06-30 03:00:00+00:00
1782792000,0.001,9050.7,2026-06-30 04:00:00+00:00
1782795600,0.001,422463.8,2026-06-30 05:00:00+00:00
1782799200,0.001,111252.4,2026-06-30 06:00:00+00:00
1782802800,0.001,65050.6,2026-06-30 07:00:00+00:00
1782806400,0.002,3743655.38,2026-06-30 08:00:00+00:00
1782810000,0.002,462.75,2026-06-30 09:00:00+00:00
1782813600,0.002,691.77,2026-06-30 10:00:00+00:00
1782817200,0.002,2799.85,2026-06-30 11:00:00+00:00
1782820800,0.002,925.5,2026-06-30 12:00:00+00:00
1782824400,0.002,10000.0,2026-06-30 13:00:00+00:00
1782828000,0.002,11137.27,2026-06-30 14:00:00+00:00
1782831600,0.002,8513.35,2026-06-30 15:00:00+00:00
