ts,price,volume,dt
1782630000,0.005,41711.92,2026-06-28 07:00:00+00:00
1782633600,0.005,5244.16,2026-06-28 08:00:00+00:00
1782637200,0.005,1491.84,2026-06-28 09:00:00+00:00
1782640800,0.005,33054.96,2026-06-28 10:00:00+00:00
1782644400,0.005,2797.84,2026-06-28 11:00:00+00:00
1782648000,0.005,785.12,2026-06-28 12:00:00+00:00
1782651600,0.005,19899.76,2026-06-28 13:00:00+00:00
1782655200,0.005,835.98,2026-06-28 14:00:00+00:00
1782658800,0.005,105124.24,2026-06-28 15:00:00+00:00
1782662400,0.005,11212.5,2026-06-28 16:00:00+00:00
1782666000,0.005,83601.96,2026-06-28 17:00:00+00:00
1782669600,0.005,15936.74,2026-06-28 18:00:00+00:00
1782673200,0.004,22709.11,2026-06-28 19:00:00+00:00
1782676800,0.004,46260.03,2026-06-28 20:00:00+00:00
1782680400,0.005,13938.62,2026-06-28 21:00:00+00:00
1782684000,0.005,63641.28,2026-06-28 22:00:00+00:00
1782687600,0.005,33964.06,2026-06-28 23:00:00+00:00
1782691200,0.005,12048.84,2026-06-29 00:00:00+00:00
1782694800,0.005,8556.96,2026-06-29 01:00:00+00:00
1782698400,0.004,96056.02,2026-06-29 02:00:00+00:00
1782702000,0.005,34773.22,2026-06-29 03:00:00+00:00
1782705600,0.005,51179.28,2026-06-29 04:00:00+00:00
1782709200,0.005,4670.28,2026-06-29 05:00:00+00:00
1782712800,0.005,8090.66,2026-06-29 06:00:00+00:00
1782723600,0.005,3.68,2026-06-29 09:00:00+00:00
1782730800,0.005,4295.16,2026-06-29 11:00:00+00:00
1782734400,0.005,8202.5,2026-06-29 12:00:00+00:00
1782738000,0.005,38522.28,2026-06-29 13:00:00+00:00
1782741600,0.005,2641.14,2026-06-29 14:00:00+00:00
1782745200,0.005,47248.13,2026-06-29 15:00:00+00:00
1782748800,0.005,145672.93,2026-06-29 16:00:00+00:00
1782752400,0.005,5759.32,2026-06-29 17:00:00+00:00
1782756000,0.005,403617.34,2026-06-29 18:00:00+00:00
1782759600,0.005,7693.02,2026-06-29 19:00:00+00:00
1782763200,0.005,47108.56,2026-06-29 20:00:00+00:00
1782766800,0.005,13886.38,2026-06-29 21:00:00+00:00
1782770400,0.005,8935.24,2026-06-29 22:00:00+00:00
1782774000,0.005,106184.76,2026-06-29 23:00:00+00:00
1782777600,0.005,48495.85,2026-06-30 00:00:00+00:00
1782781200,0.005,116176.5,2026-06-30 01:00:00+00:00
1782784800,0.005,125185.84,2026-06-30 02:00:00+00:00
1782788400,0.005,20980.2,2026-06-30 03:00:00+00:00
1782792000,0.005,31902.46,2026-06-30 04:00:00+00:00
1782795600,0.005,228600.89,2026-06-30 05:00:00+00:00
1782799200,0.005,20103.3,2026-06-30 06:00:00+00:00
1782802800,0.005,117981.24,2026-06-30 07:00:00+00:00
1782806400,0.005,33154.94,2026-06-30 08:00:00+00:00
1782810000,0.005,17229.08,2026-06-30 09:00:00+00:00
1782813600,0.005,2788.5,2026-06-30 10:00:00+00:00
1782817200,0.005,96403.8,2026-06-30 11:00:00+00:00
1782820800,0.005,14017.0,2026-06-30 12:00:00+00:00
1782824400,0.005,17343.1,2026-06-30 13:00:00+00:00
1782828000,0.005,28328.42,2026-06-30 14:00:00+00:00
1782831600,0.005,10108.68,2026-06-30 15:00:00+00:00
1782835200,0.005,6167.08,2026-06-30 16:00:00+00:00
1782838800,0.005,19299.88,2026-06-30 17:00:00+00:00
1782842400,0.005,66171.14,2026-06-30 18:00:00+00:00
1782846000,0.005,29126.71,2026-06-30 19:00:00+00:00
1782849600,0.005,80640.74,2026-06-30 20:00:00+00:00
1782853200,0.005,119270.02,2026-06-30 21:00:00+00:00
1782856800,0.005,36214.86,2026-06-30 22:00:00+00:00
1782860400,0.005,96199.78,2026-06-30 23:00:00+00:00
1782864000,0.005,244849.46,2026-07-01 00:00:00+00:00
1782867600,0.004,363295.61,2026-07-01 01:00:00+00:00
1782871200,0.006,218193.21,2026-07-01 02:00:00+00:00
1782874800,0.001,92895.28,2026-07-01 03:00:00+00:00
1782878400,0.001,23348.57,2026-07-01 04:00:00+00:00
1782882000,0.001,9337.1,2026-07-01 05:00:00+00:00
