ts,price,volume,dt
1782630000,0.002,10269.2,2026-06-28 07:00:00+00:00
1782633600,0.002,462.75,2026-06-28 08:00:00+00:00
1782637200,0.002,462.75,2026-06-28 09:00:00+00:00
1782640800,0.002,2888.2,2026-06-28 10:00:00+00:00
1782644400,0.002,5601.5,2026-06-28 11:00:00+00:00
1782651600,0.002,462.75,2026-06-28 13:00:00+00:00
1782655200,0.002,1393.4,2026-06-28 14:00:00+00:00
1782658800,0.002,8875.0,2026-06-28 15:00:00+00:00
1782662400,0.002,10737.34,2026-06-28 16:00:00+00:00
1782666000,0.002,15228.82,2026-06-28 17:00:00+00:00
1782669600,0.002,10705.5,2026-06-28 18:00:00+00:00
1782673200,0.002,114460.25,2026-06-28 19:00:00+00:00
1782676800,0.002,37371.15,2026-06-28 20:00:00+00:00
1782680400,0.002,5133.6,2026-06-28 21:00:00+00:00
1782684000,0.002,89166.77,2026-06-28 22:00:00+00:00
1782687600,0.002,70060.1,2026-06-28 23:00:00+00:00
1782691200,0.002,33793.03,2026-06-29 00:00:00+00:00
1782694800,0.002,18679.05,2026-06-29 01:00:00+00:00
1782698400,0.001,34239.2,2026-06-29 02:00:00+00:00
1782702000,0.002,25700.5,2026-06-29 03:00:00+00:00
1782705600,0.002,15949.9,2026-06-29 04:00:00+00:00
1782709200,0.002,3721.45,2026-06-29 05:00:00+00:00
1782712800,0.002,8485.7,2026-06-29 06:00:00+00:00
1782716400,0.002,25700.5,2026-06-29 07:00:00+00:00
1782723600,0.002,2253.45,2026-06-29 09:00:00+00:00
1782727200,0.002,462.75,2026-06-29 10:00:00+00:00
1782730800,0.002,2333.2,2026-06-29 11:00:00+00:00
1782738000,0.002,3516.8,2026-06-29 13:00:00+00:00
1782741600,0.002,1159.67,2026-06-29 14:00:00+00:00
1782745200,0.002,3785.8,2026-06-29 15:00:00+00:00
1782748800,0.002,5426.65,2026-06-29 16:00:00+00:00
1782756000,0.002,7465.94,2026-06-29 18:00:00+00:00
1782763200,0.002,10284.75,2026-06-29 20:00:00+00:00
1782766800,0.002,7550.45,2026-06-29 21:00:00+00:00
1782770400,0.002,16816.32,2026-06-29 22:00:00+00:00
1782774000,0.002,8434.9,2026-06-29 23:00:00+00:00
1782777600,0.002,120761.41,2026-06-30 00:00:00+00:00
1782781200,0.002,31053.41,2026-06-30 01:00:00+00:00
1782784800,0.002,2748.57,2026-06-30 02:00:00+00:00
1782788400,0.002,28402.99,2026-06-30 03:00:00+00:00
1782792000,0.002,7915.25,2026-06-30 04:00:00+00:00
1782795600,0.002,290154.71,2026-06-30 05:00:00+00:00
1782799200,0.002,30100.5,2026-06-30 06:00:00+00:00
1782802800,0.002,36225.28,2026-06-30 07:00:00+00:00
1782806400,0.002,3726.6,2026-06-30 08:00:00+00:00
1782810000,0.002,1393.4,2026-06-30 09:00:00+00:00
1782813600,0.002,3487.72,2026-06-30 10:00:00+00:00
1782817200,0.002,237863.2,2026-06-30 11:00:00+00:00
1782820800,0.002,4670.85,2026-06-30 12:00:00+00:00
1782824400,0.002,4189.35,2026-06-30 13:00:00+00:00
1782828000,0.002,4535.2,2026-06-30 14:00:00+00:00
1782831600,0.002,1906.65,2026-06-30 15:00:00+00:00
1782835200,0.002,8807.75,2026-06-30 16:00:00+00:00
1782838800,0.002,17920.95,2026-06-30 17:00:00+00:00
1782842400,0.002,35555.44,2026-06-30 18:00:00+00:00
1782846000,0.002,109637.54,2026-06-30 19:00:00+00:00
1782849600,0.002,88581.11,2026-06-30 20:00:00+00:00
1782853200,0.002,43447.4,2026-06-30 21:00:00+00:00
1782856800,0.001,71815.97,2026-06-30 22:00:00+00:00
1782860400,0.002,19557.32,2026-06-30 23:00:00+00:00
1782864000,0.002,24043.65,2026-07-01 00:00:00+00:00
1782867600,0.002,141940.17,2026-07-01 01:00:00+00:00
1782871200,0.002,91479.8,2026-07-01 02:00:00+00:00
1782874800,0.002,16387.2,2026-07-01 03:00:00+00:00
1782878400,0.002,83395.14,2026-07-01 04:00:00+00:00
1782882000,0.002,86116.75,2026-07-01 05:00:00+00:00
1782885600,0.002,40809.93,2026-07-01 06:00:00+00:00
1782889200,0.002,1202934.1,2026-07-01 07:00:00+00:00
1782892800,0.002,79956.2,2026-07-01 08:00:00+00:00
1782896400,0.002,25213.99,2026-07-01 09:00:00+00:00
1782900000,0.002,35044.32,2026-07-01 10:00:00+00:00
1782903600,0.002,9806.45,2026-07-01 11:00:00+00:00
1782907200,0.002,1861.3,2026-07-01 12:00:00+00:00
1782910800,0.002,16351.65,2026-07-01 13:00:00+00:00
1782914400,0.002,107443.75,2026-07-01 14:00:00+00:00
1782918000,0.002,7452.5,2026-07-01 15:00:00+00:00
1782921600,0.002,36293.6,2026-07-01 16:00:00+00:00
1782925200,0.002,74724.95,2026-07-01 17:00:00+00:00
1782928800,0.002,277499.62,2026-07-01 18:00:00+00:00
1782932400,0.002,60953.37,2026-07-01 19:00:00+00:00
1782936000,0.002,26489.5,2026-07-01 20:00:00+00:00
1782939600,0.002,7491.02,2026-07-01 21:00:00+00:00
1782943200,0.002,34668.86,2026-07-01 22:00:00+00:00
1782946800,0.002,72496.34,2026-07-01 23:00:00+00:00
1782950400,0.002,6273.37,2026-07-02 00:00:00+00:00
1782954000,0.002,54152.5,2026-07-02 01:00:00+00:00
1782957600,0.002,38734.75,2026-07-02 02:00:00+00:00
1782961200,0.002,94895.68,2026-07-02 03:00:00+00:00
1782964800,0.002,128578.66,2026-07-02 04:00:00+00:00
1782968400,0.002,24671.5,2026-07-02 05:00:00+00:00
1782972000,0.002,78838.0,2026-07-02 06:00:00+00:00
1782975600,0.002,20085.54,2026-07-02 07:00:00+00:00
1782986400,0.002,20640.95,2026-07-02 10:00:00+00:00
1782990000,0.002,9093.85,2026-07-02 11:00:00+00:00
1782993600,0.002,20679.95,2026-07-02 12:00:00+00:00
1782997200,0.002,104776.15,2026-07-02 13:00:00+00:00
1783000800,0.002,22585.58,2026-07-02 14:00:00+00:00
1783004400,0.002,14230.4,2026-07-02 15:00:00+00:00
1783008000,0.002,1856.15,2026-07-02 16:00:00+00:00
1783011600,0.002,73066.94,2026-07-02 17:00:00+00:00
1783015200,0.002,12056.63,2026-07-02 18:00:00+00:00
1783018800,0.002,13518.75,2026-07-02 19:00:00+00:00
1783022400,0.002,25881.8,2026-07-02 20:00:00+00:00
1783026000,0.002,17498.8,2026-07-02 21:00:00+00:00
1783029600,0.002,27815.76,2026-07-02 22:00:00+00:00
1783033200,0.002,285742.58,2026-07-02 23:00:00+00:00
1783036800,0.002,103117.37,2026-07-03 00:00:00+00:00
1783040400,0.002,95657.79,2026-07-03 01:00:00+00:00
1783044000,0.002,117566.07,2026-07-03 02:00:00+00:00
1783047600,0.002,99395.37,2026-07-03 03:00:00+00:00
1783051200,0.002,49512.04,2026-07-03 04:00:00+00:00
1783054800,0.002,82553.01,2026-07-03 05:00:00+00:00
1783058400,0.002,40247.04,2026-07-03 06:00:00+00:00
1783062000,0.002,11734.54,2026-07-03 07:00:00+00:00
1783065600,0.002,11853.5,2026-07-03 08:00:00+00:00
1783069200,0.002,16966.55,2026-07-03 09:00:00+00:00
1783072800,0.002,56810.82,2026-07-03 10:00:00+00:00
1783076400,0.002,15410.65,2026-07-03 11:00:00+00:00
1783080000,0.002,12939.65,2026-07-03 12:00:00+00:00
1783083600,0.002,8171.25,2026-07-03 13:00:00+00:00
1783087200,0.002,32631.37,2026-07-03 14:00:00+00:00
1783090800,0.002,31775.19,2026-07-03 15:00:00+00:00
1783094400,0.002,96004.1,2026-07-03 16:00:00+00:00
1783098000,0.002,53106.51,2026-07-03 17:00:00+00:00
1783101600,0.002,334183.13,2026-07-03 18:00:00+00:00
1783105200,0.002,383168.28,2026-07-03 19:00:00+00:00
1783108800,0.002,144738.89,2026-07-03 20:00:00+00:00
1783112400,0.003,371635.88,2026-07-03 21:00:00+00:00
1783116000,0.003,272600.42,2026-07-03 22:00:00+00:00
1783119600,0.002,172497.15,2026-07-03 23:00:00+00:00
1783123200,0.004,1260416.45,2026-07-04 00:00:00+00:00
1783126800,0.003,206285.48,2026-07-04 01:00:00+00:00
1783130400,0.003,147223.63,2026-07-04 02:00:00+00:00
1783134000,0.004,128459.5,2026-07-04 03:00:00+00:00
1783137600,0.003,92763.05,2026-07-04 04:00:00+00:00
1783141200,0.004,204407.69,2026-07-04 05:00:00+00:00
1783144800,0.003,26244.92,2026-07-04 06:00:00+00:00
1783148400,0.003,55615.35,2026-07-04 07:00:00+00:00
1783152000,0.003,9655.12,2026-07-04 08:00:00+00:00
1783155600,0.003,5755.09,2026-07-04 09:00:00+00:00
1783159200,0.003,58867.25,2026-07-04 10:00:00+00:00
1783162800,0.003,6457.92,2026-07-04 11:00:00+00:00
1783166400,0.003,63239.93,2026-07-04 12:00:00+00:00
1783170000,0.003,4667.59,2026-07-04 13:00:00+00:00
1783173600,0.003,11969.02,2026-07-04 14:00:00+00:00
1783177200,0.003,187175.08,2026-07-04 15:00:00+00:00
1783180800,0.003,22625.6,2026-07-04 16:00:00+00:00
1783184400,0.003,179393.1,2026-07-04 17:00:00+00:00
1783188000,0.003,63598.86,2026-07-04 18:00:00+00:00
1783191600,0.003,131086.98,2026-07-04 19:00:00+00:00
1783195200,0.003,119211.24,2026-07-04 20:00:00+00:00
1783198800,0.003,104684.63,2026-07-04 21:00:00+00:00
1783202400,0.003,365548.03,2026-07-04 22:00:00+00:00
1783206000,0.003,335109.91,2026-07-04 23:00:00+00:00
1783209600,0.003,438292.69,2026-07-05 00:00:00+00:00
1783213200,0.003,166177.86,2026-07-05 01:00:00+00:00
1783216800,0.003,133465.41,2026-07-05 02:00:00+00:00
1783220400,0.003,131623.12,2026-07-05 03:00:00+00:00
1783224000,0.003,195843.31,2026-07-05 04:00:00+00:00
1783227600,0.003,74232.32,2026-07-05 05:00:00+00:00
1783231200,0.003,52109.23,2026-07-05 06:00:00+00:00
1783234800,0.003,49309.24,2026-07-05 07:00:00+00:00
1783238400,0.003,108347.43,2026-07-05 08:00:00+00:00
1783242000,0.003,67004.14,2026-07-05 09:00:00+00:00
1783245600,0.003,58869.58,2026-07-05 10:00:00+00:00
1783249200,0.003,25148.31,2026-07-05 11:00:00+00:00
1783252800,0.003,30832.35,2026-07-05 12:00:00+00:00
1783256400,0.003,26774.23,2026-07-05 13:00:00+00:00
1783260000,0.003,42957.1,2026-07-05 14:00:00+00:00
1783263600,0.003,849042.88,2026-07-05 15:00:00+00:00
1783267200,0.003,44822.68,2026-07-05 16:00:00+00:00
1783270800,0.003,90640.47,2026-07-05 17:00:00+00:00
1783274400,0.003,201113.23,2026-07-05 18:00:00+00:00
1783278000,0.003,149386.8,2026-07-05 19:00:00+00:00
1783281600,0.003,32726.06,2026-07-05 20:00:00+00:00
1783285200,0.003,211796.15,2026-07-05 21:00:00+00:00
1783288800,0.003,130084.97,2026-07-05 22:00:00+00:00
1783292400,0.004,666218.92,2026-07-05 23:00:00+00:00
1783296000,0.004,184487.77,2026-07-06 00:00:00+00:00
