ts,price,volume,dt
1782630000,0.104,32133.62,2026-06-28 07:00:00+00:00
1782633600,0.104,19299.19,2026-06-28 08:00:00+00:00
1782637200,0.104,10519.59,2026-06-28 09:00:00+00:00
1782640800,0.104,4706.97,2026-06-28 10:00:00+00:00
1782644400,0.105,16604.59,2026-06-28 11:00:00+00:00
1782648000,0.104,36518.64,2026-06-28 12:00:00+00:00
1782651600,0.104,10461.94,2026-06-28 13:00:00+00:00
1782655200,0.104,34853.89,2026-06-28 14:00:00+00:00
1782658800,0.104,11262.38,2026-06-28 15:00:00+00:00
1782662400,0.105,8959.06,2026-06-28 16:00:00+00:00
1782666000,0.105,100728.68,2026-06-28 17:00:00+00:00
1782669600,0.105,28260.67,2026-06-28 18:00:00+00:00
1782673200,0.104,37910.33,2026-06-28 19:00:00+00:00
1782676800,0.105,38040.7,2026-06-28 20:00:00+00:00
1782680400,0.104,55678.98,2026-06-28 21:00:00+00:00
1782684000,0.104,60916.62,2026-06-28 22:00:00+00:00
1782687600,0.103,68788.82,2026-06-28 23:00:00+00:00
1782691200,0.104,24869.64,2026-06-29 00:00:00+00:00
1782694800,0.104,36071.16,2026-06-29 01:00:00+00:00
1782698400,0.104,53485.26,2026-06-29 02:00:00+00:00
1782702000,0.103,44318.45,2026-06-29 03:00:00+00:00
1782705600,0.104,55803.55,2026-06-29 04:00:00+00:00
1782709200,0.104,42959.09,2026-06-29 05:00:00+00:00
1782712800,0.104,47231.42,2026-06-29 06:00:00+00:00
1782716400,0.103,13958.84,2026-06-29 07:00:00+00:00
1782720000,0.104,66304.73,2026-06-29 08:00:00+00:00
1782723600,0.103,8992.37,2026-06-29 09:00:00+00:00
1782727200,0.104,2385.26,2026-06-29 10:00:00+00:00
1782730800,0.104,15592.59,2026-06-29 11:00:00+00:00
1782734400,0.103,3807.85,2026-06-29 12:00:00+00:00
1782738000,0.104,16223.86,2026-06-29 13:00:00+00:00
1782741600,0.104,16416.68,2026-06-29 14:00:00+00:00
1782745200,0.104,16908.3,2026-06-29 15:00:00+00:00
1782748800,0.104,17826.89,2026-06-29 16:00:00+00:00
1782752400,0.104,47995.98,2026-06-29 17:00:00+00:00
1782756000,0.104,32854.91,2026-06-29 18:00:00+00:00
1782759600,0.103,14634.14,2026-06-29 19:00:00+00:00
1782763200,0.104,40963.05,2026-06-29 20:00:00+00:00
1782766800,0.104,21242.34,2026-06-29 21:00:00+00:00
1782770400,0.107,326224.16,2026-06-29 22:00:00+00:00
1782774000,0.107,36095.62,2026-06-29 23:00:00+00:00
1782777600,0.109,49628.92,2026-06-30 00:00:00+00:00
1782781200,0.108,63724.84,2026-06-30 01:00:00+00:00
1782784800,0.108,21519.79,2026-06-30 02:00:00+00:00
1782788400,0.108,31546.8,2026-06-30 03:00:00+00:00
1782792000,0.108,74891.95,2026-06-30 04:00:00+00:00
1782795600,0.106,120390.35,2026-06-30 05:00:00+00:00
1782799200,0.108,55321.72,2026-06-30 06:00:00+00:00
1782802800,0.106,18903.5,2026-06-30 07:00:00+00:00
1782806400,0.107,17400.58,2026-06-30 08:00:00+00:00
1782810000,0.107,7237.13,2026-06-30 09:00:00+00:00
1782813600,0.107,4458.59,2026-06-30 10:00:00+00:00
1782817200,0.107,6154.77,2026-06-30 11:00:00+00:00
1782820800,0.106,7487.69,2026-06-30 12:00:00+00:00
1782824400,0.107,17238.14,2026-06-30 13:00:00+00:00
1782828000,0.107,48193.3,2026-06-30 14:00:00+00:00
1782831600,0.107,17847.97,2026-06-30 15:00:00+00:00
1782835200,0.107,14609.74,2026-06-30 16:00:00+00:00
1782838800,0.106,42051.51,2026-06-30 17:00:00+00:00
1782842400,0.107,44189.22,2026-06-30 18:00:00+00:00
1782846000,0.107,55302.42,2026-06-30 19:00:00+00:00
1782849600,0.107,17810.81,2026-06-30 20:00:00+00:00
1782853200,0.107,42259.43,2026-06-30 21:00:00+00:00
1782856800,0.107,39203.15,2026-06-30 22:00:00+00:00
1782860400,0.107,62597.36,2026-06-30 23:00:00+00:00
1782864000,0.105,63973.05,2026-07-01 00:00:00+00:00
1782867600,0.101,59028.66,2026-07-01 01:00:00+00:00
1782871200,0.097,54292.25,2026-07-01 02:00:00+00:00
1782874800,0.093,70102.17,2026-07-01 03:00:00+00:00
1782878400,0.098,56742.81,2026-07-01 04:00:00+00:00
1782882000,0.093,68916.76,2026-07-01 05:00:00+00:00
1782885600,0.092,62036.69,2026-07-01 06:00:00+00:00
1782889200,0.092,29933.34,2026-07-01 07:00:00+00:00
1782892800,0.092,36348.43,2026-07-01 08:00:00+00:00
1782896400,0.092,13299.97,2026-07-01 09:00:00+00:00
1782900000,0.092,30252.68,2026-07-01 10:00:00+00:00
1782903600,0.092,9397.26,2026-07-01 11:00:00+00:00
1782907200,0.095,46936.2,2026-07-01 12:00:00+00:00
1782910800,0.096,23278.17,2026-07-01 13:00:00+00:00
1782914400,0.1,42382.63,2026-07-01 14:00:00+00:00
1782918000,0.1,44560.04,2026-07-01 15:00:00+00:00
1782921600,0.1,27909.32,2026-07-01 16:00:00+00:00
1782925200,0.1,36759.56,2026-07-01 17:00:00+00:00
1782928800,0.098,54692.42,2026-07-01 18:00:00+00:00
1782932400,0.093,118507.68,2026-07-01 19:00:00+00:00
1782936000,0.093,60026.24,2026-07-01 20:00:00+00:00
1782939600,0.093,37006.65,2026-07-01 21:00:00+00:00
1782943200,0.093,46287.72,2026-07-01 22:00:00+00:00
1782946800,0.093,61851.72,2026-07-01 23:00:00+00:00
1782950400,0.093,89893.01,2026-07-02 00:00:00+00:00
1782954000,0.093,50362.32,2026-07-02 01:00:00+00:00
1782957600,0.093,80263.28,2026-07-02 02:00:00+00:00
1782961200,0.1,194118.01,2026-07-02 03:00:00+00:00
1782964800,0.098,57377.2,2026-07-02 04:00:00+00:00
1782968400,0.1,87560.43,2026-07-02 05:00:00+00:00
1782972000,0.1,35780.72,2026-07-02 06:00:00+00:00
1782975600,0.1,21903.74,2026-07-02 07:00:00+00:00
1782986400,0.099,25877.19,2026-07-02 10:00:00+00:00
1782990000,0.1,12598.01,2026-07-02 11:00:00+00:00
1782993600,0.1,12479.56,2026-07-02 12:00:00+00:00
1782997200,0.099,28648.98,2026-07-02 13:00:00+00:00
1783000800,0.101,56525.68,2026-07-02 14:00:00+00:00
1783004400,0.099,91928.44,2026-07-02 15:00:00+00:00
1783008000,0.098,66059.41,2026-07-02 16:00:00+00:00
1783011600,0.102,91322.47,2026-07-02 17:00:00+00:00
1783015200,0.103,54189.87,2026-07-02 18:00:00+00:00
1783018800,0.104,87946.81,2026-07-02 19:00:00+00:00
1783022400,0.113,201910.68,2026-07-02 20:00:00+00:00
1783026000,0.122,326162.56,2026-07-02 21:00:00+00:00
1783029600,0.125,174676.31,2026-07-02 22:00:00+00:00
1783033200,0.129,126325.1,2026-07-02 23:00:00+00:00
1783036800,0.129,42014.59,2026-07-03 00:00:00+00:00
1783040400,0.124,207573.32,2026-07-03 01:00:00+00:00
1783044000,0.12,211206.53,2026-07-03 02:00:00+00:00
1783047600,0.12,127011.98,2026-07-03 03:00:00+00:00
1783051200,0.121,109872.82,2026-07-03 04:00:00+00:00
1783054800,0.121,27503.5,2026-07-03 05:00:00+00:00
1783058400,0.12,54944.29,2026-07-03 06:00:00+00:00
1783062000,0.12,36673.18,2026-07-03 07:00:00+00:00
1783065600,0.12,21607.41,2026-07-03 08:00:00+00:00
1783069200,0.12,17664.28,2026-07-03 09:00:00+00:00
1783072800,0.12,7530.73,2026-07-03 10:00:00+00:00
1783076400,0.12,26678.97,2026-07-03 11:00:00+00:00
1783080000,0.12,44751.49,2026-07-03 12:00:00+00:00
1783083600,0.122,61357.85,2026-07-03 13:00:00+00:00
1783087200,0.122,29329.72,2026-07-03 14:00:00+00:00
1783090800,0.13,131342.51,2026-07-03 15:00:00+00:00
1783094400,0.134,41387.08,2026-07-03 16:00:00+00:00
1783098000,0.132,32768.58,2026-07-03 17:00:00+00:00
1783101600,0.132,29165.75,2026-07-03 18:00:00+00:00
1783105200,0.128,43192.0,2026-07-03 19:00:00+00:00
1783108800,0.126,215512.41,2026-07-03 20:00:00+00:00
1783112400,0.129,136679.35,2026-07-03 21:00:00+00:00
1783116000,0.129,33412.09,2026-07-03 22:00:00+00:00
1783119600,0.125,73229.03,2026-07-03 23:00:00+00:00
1783123200,0.123,22451.0,2026-07-04 00:00:00+00:00
1783126800,0.128,83823.03,2026-07-04 01:00:00+00:00
