ts,price,volume,dt
1782630000,0.249,92418.57,2026-06-28 07:00:00+00:00
1782633600,0.246,63333.77,2026-06-28 08:00:00+00:00
1782637200,0.248,31211.6,2026-06-28 09:00:00+00:00
1782640800,0.248,56149.56,2026-06-28 10:00:00+00:00
1782644400,0.246,14671.08,2026-06-28 11:00:00+00:00
1782648000,0.245,15281.54,2026-06-28 12:00:00+00:00
1782651600,0.245,25771.62,2026-06-28 13:00:00+00:00
1782655200,0.244,68447.89,2026-06-28 14:00:00+00:00
1782658800,0.245,88594.41,2026-06-28 15:00:00+00:00
1782662400,0.245,52284.7,2026-06-28 16:00:00+00:00
1782666000,0.246,78319.68,2026-06-28 17:00:00+00:00
1782669600,0.249,54692.14,2026-06-28 18:00:00+00:00
1782673200,0.249,103663.47,2026-06-28 19:00:00+00:00
1782676800,0.249,80286.13,2026-06-28 20:00:00+00:00
1782680400,0.249,125525.33,2026-06-28 21:00:00+00:00
1782684000,0.245,119159.45,2026-06-28 22:00:00+00:00
1782687600,0.246,107307.28,2026-06-28 23:00:00+00:00
1782691200,0.244,86378.4,2026-06-29 00:00:00+00:00
1782694800,0.244,71629.31,2026-06-29 01:00:00+00:00
1782698400,0.242,58919.98,2026-06-29 02:00:00+00:00
1782702000,0.238,59365.67,2026-06-29 03:00:00+00:00
1782705600,0.236,113668.21,2026-06-29 04:00:00+00:00
1782709200,0.239,48626.9,2026-06-29 05:00:00+00:00
1782712800,0.238,45361.64,2026-06-29 06:00:00+00:00
1782716400,0.24,54369.91,2026-06-29 07:00:00+00:00
1782720000,0.24,20732.12,2026-06-29 08:00:00+00:00
1782723600,0.24,9587.18,2026-06-29 09:00:00+00:00
1782727200,0.24,14699.62,2026-06-29 10:00:00+00:00
1782730800,0.237,11757.95,2026-06-29 11:00:00+00:00
1782734400,0.24,14407.84,2026-06-29 12:00:00+00:00
1782738000,0.24,13767.07,2026-06-29 13:00:00+00:00
1782741600,0.24,60450.04,2026-06-29 14:00:00+00:00
1782745200,0.238,63687.18,2026-06-29 15:00:00+00:00
1782748800,0.231,87229.12,2026-06-29 16:00:00+00:00
1782752400,0.241,77000.04,2026-06-29 17:00:00+00:00
1782756000,0.235,68954.03,2026-06-29 18:00:00+00:00
1782759600,0.243,72557.58,2026-06-29 19:00:00+00:00
1782763200,0.239,198336.45,2026-06-29 20:00:00+00:00
1782766800,0.239,64729.62,2026-06-29 21:00:00+00:00
1782770400,0.239,154437.85,2026-06-29 22:00:00+00:00
1782774000,0.24,91333.67,2026-06-29 23:00:00+00:00
1782777600,0.271,582152.75,2026-06-30 00:00:00+00:00
1782781200,0.27,163281.37,2026-06-30 01:00:00+00:00
1782784800,0.26,79373.85,2026-06-30 02:00:00+00:00
1782788400,0.263,129201.09,2026-06-30 03:00:00+00:00
1782792000,0.298,200948.02,2026-06-30 04:00:00+00:00
1782795600,0.296,304037.61,2026-06-30 05:00:00+00:00
1782799200,0.296,97063.66,2026-06-30 06:00:00+00:00
1782802800,0.29,90665.77,2026-06-30 07:00:00+00:00
1782806400,0.292,23163.03,2026-06-30 08:00:00+00:00
1782810000,0.291,28884.11,2026-06-30 09:00:00+00:00
1782813600,0.291,13515.1,2026-06-30 10:00:00+00:00
1782817200,0.291,19079.17,2026-06-30 11:00:00+00:00
1782820800,0.289,27394.34,2026-06-30 12:00:00+00:00
1782824400,0.291,81066.51,2026-06-30 13:00:00+00:00
1782828000,0.284,76014.1,2026-06-30 14:00:00+00:00
1782831600,0.291,77573.88,2026-06-30 15:00:00+00:00
1782835200,0.29,57297.03,2026-06-30 16:00:00+00:00
1782838800,0.291,82492.84,2026-06-30 17:00:00+00:00
1782842400,0.283,99855.88,2026-06-30 18:00:00+00:00
1782846000,0.286,79816.41,2026-06-30 19:00:00+00:00
1782849600,0.291,175279.89,2026-06-30 20:00:00+00:00
1782853200,0.293,361704.66,2026-06-30 21:00:00+00:00
1782856800,0.313,271562.21,2026-06-30 22:00:00+00:00
1782860400,0.337,481560.31,2026-06-30 23:00:00+00:00
1782864000,0.339,300865.56,2026-07-01 00:00:00+00:00
1782867600,0.339,239740.69,2026-07-01 01:00:00+00:00
1782871200,0.339,146621.22,2026-07-01 02:00:00+00:00
1782874800,0.339,184029.7,2026-07-01 03:00:00+00:00
1782878400,0.347,132438.6,2026-07-01 04:00:00+00:00
1782882000,0.347,191312.25,2026-07-01 05:00:00+00:00
1782885600,0.347,133771.04,2026-07-01 06:00:00+00:00
1782889200,0.347,70320.88,2026-07-01 07:00:00+00:00
1782892800,0.345,107188.97,2026-07-01 08:00:00+00:00
1782896400,0.345,52278.82,2026-07-01 09:00:00+00:00
1782900000,0.338,68742.45,2026-07-01 10:00:00+00:00
1782903600,0.335,28791.53,2026-07-01 11:00:00+00:00
1782907200,0.343,50902.73,2026-07-01 12:00:00+00:00
1782910800,0.344,39527.33,2026-07-01 13:00:00+00:00
1782914400,0.344,70095.97,2026-07-01 14:00:00+00:00
1782918000,0.346,112998.8,2026-07-01 15:00:00+00:00
1782921600,0.345,62001.82,2026-07-01 16:00:00+00:00
1782925200,0.337,71180.39,2026-07-01 17:00:00+00:00
1782928800,0.345,159440.68,2026-07-01 18:00:00+00:00
1782932400,0.343,173214.07,2026-07-01 19:00:00+00:00
1782936000,0.343,105172.55,2026-07-01 20:00:00+00:00
1782939600,0.348,116776.68,2026-07-01 21:00:00+00:00
1782943200,0.343,79266.31,2026-07-01 22:00:00+00:00
1782946800,0.343,169052.83,2026-07-01 23:00:00+00:00
1782950400,0.351,143702.74,2026-07-02 00:00:00+00:00
1782954000,0.35,76269.34,2026-07-02 01:00:00+00:00
1782957600,0.35,79711.63,2026-07-02 02:00:00+00:00
1782961200,0.351,135146.72,2026-07-02 03:00:00+00:00
1782964800,0.359,125351.43,2026-07-02 04:00:00+00:00
1782968400,0.349,106959.19,2026-07-02 05:00:00+00:00
1782972000,0.349,65894.0,2026-07-02 06:00:00+00:00
1782975600,0.35,86418.32,2026-07-02 07:00:00+00:00
1782986400,0.35,28500.6,2026-07-02 10:00:00+00:00
1782990000,0.351,18244.17,2026-07-02 11:00:00+00:00
1782993600,0.351,19881.17,2026-07-02 12:00:00+00:00
1782997200,0.355,56123.96,2026-07-02 13:00:00+00:00
1783000800,0.354,86741.55,2026-07-02 14:00:00+00:00
1783004400,0.354,40873.55,2026-07-02 15:00:00+00:00
1783008000,0.344,37122.22,2026-07-02 16:00:00+00:00
1783011600,0.352,112455.93,2026-07-02 17:00:00+00:00
1783015200,0.35,51845.27,2026-07-02 18:00:00+00:00
1783018800,0.351,53967.37,2026-07-02 19:00:00+00:00
1783022400,0.347,60606.89,2026-07-02 20:00:00+00:00
1783026000,0.344,100693.45,2026-07-02 21:00:00+00:00
1783029600,0.339,72356.96,2026-07-02 22:00:00+00:00
1783033200,0.337,66866.31,2026-07-02 23:00:00+00:00
1783036800,0.338,74752.09,2026-07-03 00:00:00+00:00
1783040400,0.34,69761.24,2026-07-03 01:00:00+00:00
1783044000,0.328,128094.28,2026-07-03 02:00:00+00:00
1783047600,0.341,75662.51,2026-07-03 03:00:00+00:00
1783051200,0.34,76536.12,2026-07-03 04:00:00+00:00
1783054800,0.341,59913.59,2026-07-03 05:00:00+00:00
1783058400,0.341,92983.91,2026-07-03 06:00:00+00:00
1783062000,0.341,38477.57,2026-07-03 07:00:00+00:00
1783065600,0.341,23119.14,2026-07-03 08:00:00+00:00
1783069200,0.341,47028.21,2026-07-03 09:00:00+00:00
1783072800,0.341,15935.7,2026-07-03 10:00:00+00:00
1783076400,0.341,24997.11,2026-07-03 11:00:00+00:00
1783080000,0.34,21164.15,2026-07-03 12:00:00+00:00
1783083600,0.339,39190.87,2026-07-03 13:00:00+00:00
1783087200,0.341,64571.59,2026-07-03 14:00:00+00:00
1783090800,0.341,47780.45,2026-07-03 15:00:00+00:00
1783094400,0.329,27599.69,2026-07-03 16:00:00+00:00
1783098000,0.337,82416.27,2026-07-03 17:00:00+00:00
1783101600,0.33,94448.84,2026-07-03 18:00:00+00:00
1783105200,0.335,41941.3,2026-07-03 19:00:00+00:00
1783108800,0.336,64578.12,2026-07-03 20:00:00+00:00
1783112400,0.338,38991.54,2026-07-03 21:00:00+00:00
1783116000,0.338,93985.04,2026-07-03 22:00:00+00:00
1783119600,0.336,61727.44,2026-07-03 23:00:00+00:00
1783123200,0.35,132557.8,2026-07-04 00:00:00+00:00
1783126800,0.365,268756.33,2026-07-04 01:00:00+00:00
1783130400,0.348,124722.62,2026-07-04 02:00:00+00:00
1783134000,0.34,86277.69,2026-07-04 03:00:00+00:00
1783137600,0.347,144979.12,2026-07-04 04:00:00+00:00
1783141200,0.354,137454.27,2026-07-04 05:00:00+00:00
1783144800,0.346,62664.35,2026-07-04 06:00:00+00:00
1783148400,0.356,35947.51,2026-07-04 07:00:00+00:00
1783152000,0.355,21054.35,2026-07-04 08:00:00+00:00
1783155600,0.357,44760.59,2026-07-04 09:00:00+00:00
1783159200,0.356,16981.88,2026-07-04 10:00:00+00:00
1783162800,0.355,15292.62,2026-07-04 11:00:00+00:00
1783166400,0.354,20217.29,2026-07-04 12:00:00+00:00
1783170000,0.34,42188.53,2026-07-04 13:00:00+00:00
1783173600,0.355,21304.37,2026-07-04 14:00:00+00:00
1783177200,0.355,38931.14,2026-07-04 15:00:00+00:00
1783180800,0.343,73189.2,2026-07-04 16:00:00+00:00
1783184400,0.346,52644.97,2026-07-04 17:00:00+00:00
1783188000,0.36,64637.48,2026-07-04 18:00:00+00:00
1783191600,0.36,145333.28,2026-07-04 19:00:00+00:00
1783195200,0.364,291756.17,2026-07-04 20:00:00+00:00
1783198800,0.365,274488.96,2026-07-04 21:00:00+00:00
1783202400,0.349,159492.76,2026-07-04 22:00:00+00:00
1783206000,0.361,289589.78,2026-07-04 23:00:00+00:00
1783209600,0.366,163411.35,2026-07-05 00:00:00+00:00
1783213200,0.36,117697.93,2026-07-05 01:00:00+00:00
1783216800,0.358,42556.78,2026-07-05 02:00:00+00:00
1783220400,0.358,86459.73,2026-07-05 03:00:00+00:00
1783224000,0.355,60346.05,2026-07-05 04:00:00+00:00
1783227600,0.356,33809.48,2026-07-05 05:00:00+00:00
1783231200,0.355,30496.75,2026-07-05 06:00:00+00:00
1783234800,0.35,22338.51,2026-07-05 07:00:00+00:00
1783238400,0.348,24878.78,2026-07-05 08:00:00+00:00
1783242000,0.346,41005.43,2026-07-05 09:00:00+00:00
1783245600,0.356,8760.18,2026-07-05 10:00:00+00:00
1783249200,0.355,12346.89,2026-07-05 11:00:00+00:00
1783252800,0.355,6480.0,2026-07-05 12:00:00+00:00
1783256400,0.354,13322.09,2026-07-05 13:00:00+00:00
1783260000,0.352,20675.89,2026-07-05 14:00:00+00:00
