ts,price,volume,dt
1782630000,0.1,31422.02,2026-06-28 07:00:00+00:00
1782633600,0.1,5580.42,2026-06-28 08:00:00+00:00
1782637200,0.1,3040.98,2026-06-28 09:00:00+00:00
1782640800,0.1,2811.51,2026-06-28 10:00:00+00:00
1782644400,0.1,104346.89,2026-06-28 11:00:00+00:00
1782648000,0.1,2552.61,2026-06-28 12:00:00+00:00
1782651600,0.1,19518.96,2026-06-28 13:00:00+00:00
1782655200,0.099,4951.03,2026-06-28 14:00:00+00:00
1782658800,0.099,13235.94,2026-06-28 15:00:00+00:00
1782662400,0.099,14054.35,2026-06-28 16:00:00+00:00
1782666000,0.099,13355.58,2026-06-28 17:00:00+00:00
1782669600,0.099,13324.74,2026-06-28 18:00:00+00:00
1782673200,0.1,22747.05,2026-06-28 19:00:00+00:00
1782676800,0.1,22973.03,2026-06-28 20:00:00+00:00
1782680400,0.1,26467.41,2026-06-28 21:00:00+00:00
1782684000,0.099,13838.82,2026-06-28 22:00:00+00:00
1782687600,0.1,11156.09,2026-06-28 23:00:00+00:00
1782691200,0.1,6446.77,2026-06-29 00:00:00+00:00
1782694800,0.099,19091.73,2026-06-29 01:00:00+00:00
1782698400,0.099,310173.78,2026-06-29 02:00:00+00:00
1782702000,0.1,79916.06,2026-06-29 03:00:00+00:00
1782705600,0.1,8464.02,2026-06-29 04:00:00+00:00
1782709200,0.1,4501.42,2026-06-29 05:00:00+00:00
1782712800,0.099,23493.1,2026-06-29 06:00:00+00:00
1782716400,0.1,2357.22,2026-06-29 07:00:00+00:00
1782720000,0.1,9142.29,2026-06-29 08:00:00+00:00
1782723600,0.1,236.03,2026-06-29 09:00:00+00:00
1782727200,0.1,2351.9,2026-06-29 10:00:00+00:00
1782730800,0.1,2078.98,2026-06-29 11:00:00+00:00
1782734400,0.099,2165.17,2026-06-29 12:00:00+00:00
1782738000,0.099,2477.82,2026-06-29 13:00:00+00:00
1782741600,0.1,10056.15,2026-06-29 14:00:00+00:00
1782745200,0.1,50121.74,2026-06-29 15:00:00+00:00
1782748800,0.099,14472.87,2026-06-29 16:00:00+00:00
1782752400,0.099,17183.2,2026-06-29 17:00:00+00:00
1782756000,0.1,290125.92,2026-06-29 18:00:00+00:00
1782759600,0.1,53500.34,2026-06-29 19:00:00+00:00
1782763200,0.099,28384.72,2026-06-29 20:00:00+00:00
1782766800,0.099,17635.73,2026-06-29 21:00:00+00:00
1782770400,0.099,25417.26,2026-06-29 22:00:00+00:00
1782774000,0.097,18295.12,2026-06-29 23:00:00+00:00
1782777600,0.094,127825.23,2026-06-30 00:00:00+00:00
1782781200,0.094,34004.58,2026-06-30 01:00:00+00:00
1782784800,0.095,16212.75,2026-06-30 02:00:00+00:00
1782788400,0.095,28152.22,2026-06-30 03:00:00+00:00
1782792000,0.094,20735.08,2026-06-30 04:00:00+00:00
1782795600,0.094,54239.98,2026-06-30 05:00:00+00:00
1782799200,0.093,32018.28,2026-06-30 06:00:00+00:00
1782802800,0.094,6395.57,2026-06-30 07:00:00+00:00
1782806400,0.094,7401.82,2026-06-30 08:00:00+00:00
1782810000,0.094,53600.47,2026-06-30 09:00:00+00:00
1782813600,0.094,3078.26,2026-06-30 10:00:00+00:00
1782817200,0.093,3761.01,2026-06-30 11:00:00+00:00
1782820800,0.094,5044.01,2026-06-30 12:00:00+00:00
1782824400,0.093,4875.95,2026-06-30 13:00:00+00:00
1782828000,0.094,15388.73,2026-06-30 14:00:00+00:00
1782831600,0.094,10576.81,2026-06-30 15:00:00+00:00
1782835200,0.094,15176.72,2026-06-30 16:00:00+00:00
1782838800,0.094,61570.09,2026-06-30 17:00:00+00:00
1782842400,0.094,18902.92,2026-06-30 18:00:00+00:00
1782846000,0.094,24106.13,2026-06-30 19:00:00+00:00
1782849600,0.093,30855.0,2026-06-30 20:00:00+00:00
1782853200,0.094,25797.74,2026-06-30 21:00:00+00:00
1782856800,0.094,14268.24,2026-06-30 22:00:00+00:00
1782860400,0.093,35039.45,2026-06-30 23:00:00+00:00
1782864000,0.094,60304.01,2026-07-01 00:00:00+00:00
1782867600,0.092,21378.75,2026-07-01 01:00:00+00:00
1782871200,0.089,68500.13,2026-07-01 02:00:00+00:00
1782874800,0.089,45679.78,2026-07-01 03:00:00+00:00
1782878400,0.087,41403.77,2026-07-01 04:00:00+00:00
1782882000,0.083,52037.7,2026-07-01 05:00:00+00:00
1782885600,0.083,23628.45,2026-07-01 06:00:00+00:00
1782889200,0.083,180423.59,2026-07-01 07:00:00+00:00
1782892800,0.083,18955.48,2026-07-01 08:00:00+00:00
1782896400,0.083,88188.48,2026-07-01 09:00:00+00:00
1782900000,0.083,8663.98,2026-07-01 10:00:00+00:00
1782903600,0.083,9880.07,2026-07-01 11:00:00+00:00
1782907200,0.082,31806.39,2026-07-01 12:00:00+00:00
1782910800,0.083,7563.01,2026-07-01 13:00:00+00:00
1782914400,0.082,26178.64,2026-07-01 14:00:00+00:00
1782918000,0.083,76784.66,2026-07-01 15:00:00+00:00
1782921600,0.095,222070.97,2026-07-01 16:00:00+00:00
1782925200,0.056,321385.41,2026-07-01 17:00:00+00:00
1782928800,0.101,320463.65,2026-07-01 18:00:00+00:00
1782932400,0.093,476630.3,2026-07-01 19:00:00+00:00
1782936000,0.092,45413.42,2026-07-01 20:00:00+00:00
1782939600,0.093,63742.72,2026-07-01 21:00:00+00:00
1782943200,0.087,55375.26,2026-07-01 22:00:00+00:00
1782946800,0.087,27397.69,2026-07-01 23:00:00+00:00
1782950400,0.086,328785.49,2026-07-02 00:00:00+00:00
1782954000,0.078,25336.93,2026-07-02 01:00:00+00:00
1782957600,0.082,19333.54,2026-07-02 02:00:00+00:00
1782961200,0.079,121596.76,2026-07-02 03:00:00+00:00
1782964800,0.083,18862.23,2026-07-02 04:00:00+00:00
1782968400,0.08,15895.96,2026-07-02 05:00:00+00:00
1782972000,0.079,17264.77,2026-07-02 06:00:00+00:00
1782975600,0.078,11333.58,2026-07-02 07:00:00+00:00
1782986400,0.079,21944.26,2026-07-02 10:00:00+00:00
1782990000,0.079,21284.13,2026-07-02 11:00:00+00:00
1782993600,0.079,8508.23,2026-07-02 12:00:00+00:00
1782997200,0.079,8212.96,2026-07-02 13:00:00+00:00
1783000800,0.079,8397.63,2026-07-02 14:00:00+00:00
1783004400,0.079,10373.0,2026-07-02 15:00:00+00:00
1783008000,0.079,33849.37,2026-07-02 16:00:00+00:00
1783011600,0.075,52279.78,2026-07-02 17:00:00+00:00
1783015200,0.075,16675.37,2026-07-02 18:00:00+00:00
1783018800,0.075,26807.74,2026-07-02 19:00:00+00:00
1783022400,0.077,40596.19,2026-07-02 20:00:00+00:00
1783026000,0.076,29590.68,2026-07-02 21:00:00+00:00
1783029600,0.075,12432.58,2026-07-02 22:00:00+00:00
1783033200,0.075,13637.24,2026-07-02 23:00:00+00:00
1783036800,0.076,13381.96,2026-07-03 00:00:00+00:00
1783040400,0.076,9949.47,2026-07-03 01:00:00+00:00
1783044000,0.076,36869.98,2026-07-03 02:00:00+00:00
1783047600,0.076,19802.77,2026-07-03 03:00:00+00:00
1783051200,0.076,11668.03,2026-07-03 04:00:00+00:00
1783054800,0.075,12146.94,2026-07-03 05:00:00+00:00
1783058400,0.075,29323.67,2026-07-03 06:00:00+00:00
1783062000,0.076,6586.81,2026-07-03 07:00:00+00:00
1783065600,0.073,56282.31,2026-07-03 08:00:00+00:00
1783069200,0.073,3139.97,2026-07-03 09:00:00+00:00
1783072800,0.073,631.86,2026-07-03 10:00:00+00:00
1783076400,0.073,2633.29,2026-07-03 11:00:00+00:00
1783080000,0.073,22900.27,2026-07-03 12:00:00+00:00
1783083600,0.073,8304.7,2026-07-03 13:00:00+00:00
1783087200,0.073,28732.4,2026-07-03 14:00:00+00:00
1783090800,0.073,8381.63,2026-07-03 15:00:00+00:00
1783094400,0.072,19258.9,2026-07-03 16:00:00+00:00
1783098000,0.073,7402.3,2026-07-03 17:00:00+00:00
1783101600,0.073,14748.96,2026-07-03 18:00:00+00:00
1783105200,0.072,86112.62,2026-07-03 19:00:00+00:00
1783108800,0.073,9979.25,2026-07-03 20:00:00+00:00
1783112400,0.073,12082.92,2026-07-03 21:00:00+00:00
1783116000,0.073,31287.5,2026-07-03 22:00:00+00:00
1783119600,0.073,9759.79,2026-07-03 23:00:00+00:00
1783123200,0.078,799087.83,2026-07-04 00:00:00+00:00
1783126800,0.076,47501.79,2026-07-04 01:00:00+00:00
1783130400,0.072,63284.95,2026-07-04 02:00:00+00:00
1783134000,0.073,19069.29,2026-07-04 03:00:00+00:00
1783137600,0.073,44287.79,2026-07-04 04:00:00+00:00
1783141200,0.072,28383.94,2026-07-04 05:00:00+00:00
1783144800,0.072,69066.1,2026-07-04 06:00:00+00:00
1783148400,0.071,6086.09,2026-07-04 07:00:00+00:00
1783152000,0.071,8084.7,2026-07-04 08:00:00+00:00
1783155600,0.071,5077.33,2026-07-04 09:00:00+00:00
1783159200,0.071,671.58,2026-07-04 10:00:00+00:00
1783162800,0.07,4101.14,2026-07-04 11:00:00+00:00
1783166400,0.071,259.4,2026-07-04 12:00:00+00:00
1783170000,0.07,4058.42,2026-07-04 13:00:00+00:00
1783173600,0.071,2267.1,2026-07-04 14:00:00+00:00
1783177200,0.07,13469.18,2026-07-04 15:00:00+00:00
1783180800,0.071,26180.07,2026-07-04 16:00:00+00:00
1783184400,0.07,26597.31,2026-07-04 17:00:00+00:00
1783188000,0.065,14869.36,2026-07-04 18:00:00+00:00
1783191600,0.066,58728.05,2026-07-04 19:00:00+00:00
1783195200,0.066,21820.94,2026-07-04 20:00:00+00:00
1783198800,0.066,86653.81,2026-07-04 21:00:00+00:00
1783202400,0.066,11847.96,2026-07-04 22:00:00+00:00
1783206000,0.066,58285.52,2026-07-04 23:00:00+00:00
1783209600,0.066,29612.69,2026-07-05 00:00:00+00:00
1783213200,0.066,67147.07,2026-07-05 01:00:00+00:00
1783216800,0.066,18496.54,2026-07-05 02:00:00+00:00
1783220400,0.066,25561.02,2026-07-05 03:00:00+00:00
1783224000,0.065,20890.53,2026-07-05 04:00:00+00:00
1783227600,0.065,18322.1,2026-07-05 05:00:00+00:00
1783231200,0.065,21810.18,2026-07-05 06:00:00+00:00
1783234800,0.066,79935.87,2026-07-05 07:00:00+00:00
1783238400,0.066,7453.58,2026-07-05 08:00:00+00:00
1783242000,0.065,4597.32,2026-07-05 09:00:00+00:00
1783245600,0.065,813.05,2026-07-05 10:00:00+00:00
1783249200,0.065,6253.72,2026-07-05 11:00:00+00:00
1783252800,0.066,1104.65,2026-07-05 12:00:00+00:00
1783256400,0.066,17803.5,2026-07-05 13:00:00+00:00
1783260000,0.066,77403.71,2026-07-05 14:00:00+00:00
1783263600,0.066,7219.6,2026-07-05 15:00:00+00:00
1783267200,0.066,21993.35,2026-07-05 16:00:00+00:00
1783270800,0.066,26826.71,2026-07-05 17:00:00+00:00
1783274400,0.066,75274.66,2026-07-05 18:00:00+00:00
1783278000,0.065,29796.08,2026-07-05 19:00:00+00:00
1783281600,0.066,22367.75,2026-07-05 20:00:00+00:00
1783285200,0.069,34336.03,2026-07-05 21:00:00+00:00
1783288800,0.079,167802.73,2026-07-05 22:00:00+00:00
1783292400,0.081,145442.28,2026-07-05 23:00:00+00:00
1783296000,0.082,71096.64,2026-07-06 00:00:00+00:00
1783299600,0.079,93351.71,2026-07-06 01:00:00+00:00
1783303200,0.107,365715.35,2026-07-06 02:00:00+00:00
1783306800,0.119,237196.2,2026-07-06 03:00:00+00:00
1783310400,0.14,298255.39,2026-07-06 04:00:00+00:00
1783314000,0.141,94450.31,2026-07-06 05:00:00+00:00
1783317600,0.138,72869.68,2026-07-06 06:00:00+00:00
1783321200,0.142,76430.91,2026-07-06 07:00:00+00:00
1783324800,0.142,9170.67,2026-07-06 08:00:00+00:00
1783328400,0.141,9438.46,2026-07-06 09:00:00+00:00
1783332000,0.141,7721.41,2026-07-06 10:00:00+00:00
1783335600,0.141,3917.18,2026-07-06 11:00:00+00:00
1783339200,0.14,38523.15,2026-07-06 12:00:00+00:00
