ts,price,volume,dt
1782630000,0.003,9650.99,2026-06-28 07:00:00+00:00
1782633600,0.003,38562.14,2026-06-28 08:00:00+00:00
1782637200,0.003,5976.84,2026-06-28 09:00:00+00:00
1782640800,0.003,41573.62,2026-06-28 10:00:00+00:00
1782644400,0.003,472354.69,2026-06-28 11:00:00+00:00
1782648000,0.003,1863.33,2026-06-28 12:00:00+00:00
1782651600,0.003,47614.23,2026-06-28 13:00:00+00:00
1782655200,0.003,1554.83,2026-06-28 14:00:00+00:00
1782658800,0.003,3348.36,2026-06-28 15:00:00+00:00
1782662400,0.003,6840.88,2026-06-28 16:00:00+00:00
1782666000,0.003,27407.06,2026-06-28 17:00:00+00:00
1782669600,0.003,206544.68,2026-06-28 18:00:00+00:00
1782673200,0.003,449899.66,2026-06-28 19:00:00+00:00
1782676800,0.003,57308.49,2026-06-28 20:00:00+00:00
1782680400,0.003,73798.41,2026-06-28 21:00:00+00:00
1782684000,0.003,57126.76,2026-06-28 22:00:00+00:00
1782687600,0.003,24311.84,2026-06-28 23:00:00+00:00
1782691200,0.003,15429.59,2026-06-29 00:00:00+00:00
1782694800,0.003,522301.45,2026-06-29 01:00:00+00:00
1782698400,0.004,143526.8,2026-06-29 02:00:00+00:00
1782702000,0.004,112389.15,2026-06-29 03:00:00+00:00
1782705600,0.004,13987.82,2026-06-29 04:00:00+00:00
1782709200,0.004,2193.15,2026-06-29 05:00:00+00:00
1782712800,0.004,29535.14,2026-06-29 06:00:00+00:00
1782716400,0.005,15249.13,2026-06-29 07:00:00+00:00
1782720000,0.004,6540.02,2026-06-29 08:00:00+00:00
1782730800,0.004,483.32,2026-06-29 11:00:00+00:00
1782738000,0.004,2610.02,2026-06-29 13:00:00+00:00
1782741600,0.004,2800.72,2026-06-29 14:00:00+00:00
1782745200,0.004,31694.87,2026-06-29 15:00:00+00:00
1782748800,0.004,75465.35,2026-06-29 16:00:00+00:00
1782752400,0.004,3267.04,2026-06-29 17:00:00+00:00
1782756000,0.004,10045.74,2026-06-29 18:00:00+00:00
1782759600,0.004,100890.02,2026-06-29 19:00:00+00:00
1782763200,0.004,24359.42,2026-06-29 20:00:00+00:00
1782766800,0.004,49576.16,2026-06-29 21:00:00+00:00
1782770400,0.004,6926.26,2026-06-29 22:00:00+00:00
1782774000,0.004,18714.18,2026-06-29 23:00:00+00:00
1782777600,0.004,49312.55,2026-06-30 00:00:00+00:00
1782781200,0.004,89051.47,2026-06-30 01:00:00+00:00
1782784800,0.004,21359.94,2026-06-30 02:00:00+00:00
1782788400,0.004,44923.56,2026-06-30 03:00:00+00:00
1782792000,0.004,45038.24,2026-06-30 04:00:00+00:00
1782795600,0.004,132315.39,2026-06-30 05:00:00+00:00
1782799200,0.004,34654.94,2026-06-30 06:00:00+00:00
1782802800,0.004,20896.32,2026-06-30 07:00:00+00:00
1782806400,0.004,26887.93,2026-06-30 08:00:00+00:00
1782810000,0.004,700.2,2026-06-30 09:00:00+00:00
1782813600,0.004,14536.69,2026-06-30 10:00:00+00:00
1782817200,0.004,27424.86,2026-06-30 11:00:00+00:00
1782820800,0.004,2982.14,2026-06-30 12:00:00+00:00
1782824400,0.004,8943.45,2026-06-30 13:00:00+00:00
1782828000,0.004,26164.69,2026-06-30 14:00:00+00:00
1782831600,0.004,13179.62,2026-06-30 15:00:00+00:00
1782835200,0.004,10450.47,2026-06-30 16:00:00+00:00
1782838800,0.004,146026.57,2026-06-30 17:00:00+00:00
1782842400,0.004,20826.39,2026-06-30 18:00:00+00:00
1782846000,0.004,20301.49,2026-06-30 19:00:00+00:00
1782849600,0.004,62057.26,2026-06-30 20:00:00+00:00
1782853200,0.004,52958.17,2026-06-30 21:00:00+00:00
1782856800,0.004,10368.82,2026-06-30 22:00:00+00:00
1782860400,0.004,3140.7,2026-06-30 23:00:00+00:00
1782864000,0.004,10014.77,2026-07-01 00:00:00+00:00
1782867600,0.003,127471.06,2026-07-01 01:00:00+00:00
1782871200,0.003,130614.75,2026-07-01 02:00:00+00:00
1782874800,0.003,108040.93,2026-07-01 03:00:00+00:00
1782878400,0.003,224914.43,2026-07-01 04:00:00+00:00
1782882000,0.003,151222.53,2026-07-01 05:00:00+00:00
1782885600,0.003,285731.52,2026-07-01 06:00:00+00:00
1782889200,0.003,24724.28,2026-07-01 07:00:00+00:00
1782892800,0.003,66640.42,2026-07-01 08:00:00+00:00
1782896400,0.003,984252.97,2026-07-01 09:00:00+00:00
1782900000,0.003,14884.93,2026-07-01 10:00:00+00:00
1782903600,0.003,5122.6,2026-07-01 11:00:00+00:00
1782907200,0.004,26706.21,2026-07-01 12:00:00+00:00
1782910800,0.004,9342.6,2026-07-01 13:00:00+00:00
1782914400,0.004,14949.0,2026-07-01 14:00:00+00:00
1782918000,0.004,27063.8,2026-07-01 15:00:00+00:00
1782921600,0.003,61142.69,2026-07-01 16:00:00+00:00
