ts,price,volume,dt
1782630000,0.01,25598.02,2026-06-28 07:00:00+00:00
1782633600,0.01,6552.69,2026-06-28 08:00:00+00:00
1782637200,0.01,13621.52,2026-06-28 09:00:00+00:00
1782640800,0.01,15533.87,2026-06-28 10:00:00+00:00
1782644400,0.01,10157.34,2026-06-28 11:00:00+00:00
1782648000,0.01,19877.44,2026-06-28 12:00:00+00:00
1782651600,0.01,3142.5,2026-06-28 13:00:00+00:00
1782655200,0.01,4202.33,2026-06-28 14:00:00+00:00
1782658800,0.01,24094.62,2026-06-28 15:00:00+00:00
1782662400,0.01,58016.76,2026-06-28 16:00:00+00:00
1782666000,0.01,16027.51,2026-06-28 17:00:00+00:00
1782669600,0.01,48954.62,2026-06-28 18:00:00+00:00
1782673200,0.01,37068.37,2026-06-28 19:00:00+00:00
1782676800,0.01,76497.31,2026-06-28 20:00:00+00:00
1782680400,0.01,26840.18,2026-06-28 21:00:00+00:00
1782684000,0.01,78281.19,2026-06-28 22:00:00+00:00
1782687600,0.01,43024.09,2026-06-28 23:00:00+00:00
1782691200,0.01,23134.49,2026-06-29 00:00:00+00:00
1782694800,0.009,235770.72,2026-06-29 01:00:00+00:00
1782698400,0.009,22618.97,2026-06-29 02:00:00+00:00
1782702000,0.009,140102.79,2026-06-29 03:00:00+00:00
1782705600,0.009,88015.68,2026-06-29 04:00:00+00:00
1782709200,0.009,48778.39,2026-06-29 05:00:00+00:00
1782712800,0.009,59940.01,2026-06-29 06:00:00+00:00
1782716400,0.009,90336.65,2026-06-29 07:00:00+00:00
1782720000,0.009,338534.78,2026-06-29 08:00:00+00:00
1782723600,0.009,5764.8,2026-06-29 09:00:00+00:00
1782727200,0.009,12013.4,2026-06-29 10:00:00+00:00
1782730800,0.01,165410.35,2026-06-29 11:00:00+00:00
1782734400,0.01,94900.68,2026-06-29 12:00:00+00:00
1782738000,0.01,302465.86,2026-06-29 13:00:00+00:00
1782741600,0.011,32248.79,2026-06-29 14:00:00+00:00
1782745200,0.011,49263.42,2026-06-29 15:00:00+00:00
1782748800,0.011,108660.43,2026-06-29 16:00:00+00:00
1782752400,0.011,402898.55,2026-06-29 17:00:00+00:00
1782756000,0.023,646579.46,2026-06-29 18:00:00+00:00
1782759600,0.001,175066.94,2026-06-29 19:00:00+00:00
1782763200,0.001,95470.1,2026-06-29 20:00:00+00:00
