ts,price,volume,dt
1782630000,0.013,43301.23,2026-06-28 07:00:00+00:00
1782633600,0.011,6661.55,2026-06-28 08:00:00+00:00
1782637200,0.013,12857.59,2026-06-28 09:00:00+00:00
1782640800,0.013,10083.81,2026-06-28 10:00:00+00:00
1782644400,0.013,28400.7,2026-06-28 11:00:00+00:00
1782648000,0.013,12873.53,2026-06-28 12:00:00+00:00
1782651600,0.011,66381.9,2026-06-28 13:00:00+00:00
1782655200,0.013,22684.28,2026-06-28 14:00:00+00:00
1782658800,0.013,6516.25,2026-06-28 15:00:00+00:00
1782662400,0.012,24584.17,2026-06-28 16:00:00+00:00
1782666000,0.013,23800.65,2026-06-28 17:00:00+00:00
1782669600,0.013,42860.31,2026-06-28 18:00:00+00:00
1782673200,0.012,17315.3,2026-06-28 19:00:00+00:00
1782676800,0.013,22312.53,2026-06-28 20:00:00+00:00
1782680400,0.013,30057.89,2026-06-28 21:00:00+00:00
1782684000,0.013,79365.9,2026-06-28 22:00:00+00:00
1782687600,0.012,50183.93,2026-06-28 23:00:00+00:00
1782691200,0.012,30871.46,2026-06-29 00:00:00+00:00
1782694800,0.012,14102.2,2026-06-29 01:00:00+00:00
1782698400,0.012,108475.93,2026-06-29 02:00:00+00:00
1782702000,0.012,351263.42,2026-06-29 03:00:00+00:00
1782705600,0.012,58487.14,2026-06-29 04:00:00+00:00
1782709200,0.012,30791.79,2026-06-29 05:00:00+00:00
1782712800,0.011,29827.65,2026-06-29 06:00:00+00:00
1782716400,0.011,10586.15,2026-06-29 07:00:00+00:00
1782720000,0.012,106068.34,2026-06-29 08:00:00+00:00
1782723600,0.012,5141.01,2026-06-29 09:00:00+00:00
1782727200,0.012,9590.26,2026-06-29 10:00:00+00:00
1782730800,0.012,1255.3,2026-06-29 11:00:00+00:00
1782734400,0.011,34675.39,2026-06-29 12:00:00+00:00
1782738000,0.012,21761.94,2026-06-29 13:00:00+00:00
1782741600,0.012,14612.54,2026-06-29 14:00:00+00:00
1782745200,0.012,104377.54,2026-06-29 15:00:00+00:00
1782748800,0.012,30888.29,2026-06-29 16:00:00+00:00
1782752400,0.012,140148.77,2026-06-29 17:00:00+00:00
1782756000,0.012,46635.52,2026-06-29 18:00:00+00:00
1782759600,0.013,100017.67,2026-06-29 19:00:00+00:00
1782763200,0.012,191985.39,2026-06-29 20:00:00+00:00
1782766800,0.013,119401.43,2026-06-29 21:00:00+00:00
1782770400,0.013,113566.52,2026-06-29 22:00:00+00:00
1782774000,0.013,40478.24,2026-06-29 23:00:00+00:00
1782777600,0.014,257035.12,2026-06-30 00:00:00+00:00
1782781200,0.014,333476.76,2026-06-30 01:00:00+00:00
1782784800,0.02,219329.71,2026-06-30 02:00:00+00:00
1782788400,0.016,477776.62,2026-06-30 03:00:00+00:00
1782792000,0.041,918042.37,2026-06-30 04:00:00+00:00
1782795600,0.04,435343.63,2026-06-30 05:00:00+00:00
1782799200,0.04,75501.83,2026-06-30 06:00:00+00:00
1782802800,0.039,48852.94,2026-06-30 07:00:00+00:00
1782806400,0.039,36786.82,2026-06-30 08:00:00+00:00
1782810000,0.039,62506.02,2026-06-30 09:00:00+00:00
1782813600,0.038,15047.2,2026-06-30 10:00:00+00:00
1782817200,0.038,18444.09,2026-06-30 11:00:00+00:00
1782820800,0.036,23906.12,2026-06-30 12:00:00+00:00
1782824400,0.039,38517.68,2026-06-30 13:00:00+00:00
1782828000,0.035,25878.2,2026-06-30 14:00:00+00:00
1782831600,0.039,50672.78,2026-06-30 15:00:00+00:00
1782835200,0.039,21978.17,2026-06-30 16:00:00+00:00
1782838800,0.039,66875.99,2026-06-30 17:00:00+00:00
1782842400,0.038,39657.53,2026-06-30 18:00:00+00:00
1782846000,0.039,61348.99,2026-06-30 19:00:00+00:00
1782849600,0.038,69650.98,2026-06-30 20:00:00+00:00
1782853200,0.038,45683.53,2026-06-30 21:00:00+00:00
1782856800,0.037,85984.83,2026-06-30 22:00:00+00:00
1782860400,0.035,925390.51,2026-06-30 23:00:00+00:00
1782864000,0.032,71545.84,2026-07-01 00:00:00+00:00
1782867600,0.032,87940.56,2026-07-01 01:00:00+00:00
1782871200,0.032,95765.29,2026-07-01 02:00:00+00:00
1782874800,0.032,87599.58,2026-07-01 03:00:00+00:00
1782878400,0.032,74850.2,2026-07-01 04:00:00+00:00
1782882000,0.031,120955.57,2026-07-01 05:00:00+00:00
1782885600,0.032,28643.04,2026-07-01 06:00:00+00:00
1782889200,0.032,25430.72,2026-07-01 07:00:00+00:00
1782892800,0.032,45590.16,2026-07-01 08:00:00+00:00
1782896400,0.031,7821.06,2026-07-01 09:00:00+00:00
1782900000,0.027,21064.21,2026-07-01 10:00:00+00:00
1782903600,0.028,7016.63,2026-07-01 11:00:00+00:00
1782907200,0.028,20379.36,2026-07-01 12:00:00+00:00
1782910800,0.029,35468.36,2026-07-01 13:00:00+00:00
1782914400,0.028,27025.27,2026-07-01 14:00:00+00:00
1782918000,0.029,21782.87,2026-07-01 15:00:00+00:00
1782921600,0.028,32173.38,2026-07-01 16:00:00+00:00
1782925200,0.029,49250.94,2026-07-01 17:00:00+00:00
1782928800,0.028,76576.13,2026-07-01 18:00:00+00:00
1782932400,0.028,77296.82,2026-07-01 19:00:00+00:00
1782936000,0.028,46035.91,2026-07-01 20:00:00+00:00
1782939600,0.025,39943.35,2026-07-01 21:00:00+00:00
1782943200,0.025,65936.61,2026-07-01 22:00:00+00:00
1782946800,0.025,115269.67,2026-07-01 23:00:00+00:00
1782950400,0.025,58184.48,2026-07-02 00:00:00+00:00
1782954000,0.024,64284.54,2026-07-02 01:00:00+00:00
1782957600,0.025,64395.48,2026-07-02 02:00:00+00:00
1782961200,0.025,220170.25,2026-07-02 03:00:00+00:00
1782964800,0.025,111260.84,2026-07-02 04:00:00+00:00
1782968400,0.025,81659.58,2026-07-02 05:00:00+00:00
1782972000,0.025,90297.6,2026-07-02 06:00:00+00:00
1782975600,0.027,72181.01,2026-07-02 07:00:00+00:00
1782986400,0.028,8083.93,2026-07-02 10:00:00+00:00
1782990000,0.026,9468.11,2026-07-02 11:00:00+00:00
1782993600,0.028,14242.94,2026-07-02 12:00:00+00:00
1782997200,0.025,24111.97,2026-07-02 13:00:00+00:00
1783000800,0.027,9277.56,2026-07-02 14:00:00+00:00
1783004400,0.026,27947.68,2026-07-02 15:00:00+00:00
1783008000,0.026,16659.95,2026-07-02 16:00:00+00:00
1783011600,0.027,38726.67,2026-07-02 17:00:00+00:00
1783015200,0.026,22148.42,2026-07-02 18:00:00+00:00
1783018800,0.026,61530.03,2026-07-02 19:00:00+00:00
1783022400,0.026,25898.18,2026-07-02 20:00:00+00:00
1783026000,0.026,49958.03,2026-07-02 21:00:00+00:00
1783029600,0.026,72344.21,2026-07-02 22:00:00+00:00
1783033200,0.025,58775.76,2026-07-02 23:00:00+00:00
1783036800,0.026,60685.2,2026-07-03 00:00:00+00:00
1783040400,0.026,37562.4,2026-07-03 01:00:00+00:00
1783044000,0.025,100391.73,2026-07-03 02:00:00+00:00
1783047600,0.025,58636.71,2026-07-03 03:00:00+00:00
1783051200,0.025,46269.45,2026-07-03 04:00:00+00:00
1783054800,0.025,38636.88,2026-07-03 05:00:00+00:00
1783058400,0.025,24867.71,2026-07-03 06:00:00+00:00
1783062000,0.025,16405.47,2026-07-03 07:00:00+00:00
1783065600,0.025,30505.44,2026-07-03 08:00:00+00:00
1783069200,0.024,16698.55,2026-07-03 09:00:00+00:00
1783072800,0.024,5489.75,2026-07-03 10:00:00+00:00
1783076400,0.024,8734.28,2026-07-03 11:00:00+00:00
1783080000,0.024,8383.96,2026-07-03 12:00:00+00:00
1783083600,0.024,55115.65,2026-07-03 13:00:00+00:00
1783087200,0.024,41188.24,2026-07-03 14:00:00+00:00
1783090800,0.024,26954.54,2026-07-03 15:00:00+00:00
1783094400,0.024,185000.64,2026-07-03 16:00:00+00:00
1783098000,0.024,316438.4,2026-07-03 17:00:00+00:00
1783101600,0.025,29836.44,2026-07-03 18:00:00+00:00
1783105200,0.025,23243.03,2026-07-03 19:00:00+00:00
1783108800,0.022,18037.19,2026-07-03 20:00:00+00:00
1783112400,0.025,40033.13,2026-07-03 21:00:00+00:00
1783116000,0.024,57062.16,2026-07-03 22:00:00+00:00
1783119600,0.024,358541.91,2026-07-03 23:00:00+00:00
1783123200,0.024,113119.33,2026-07-04 00:00:00+00:00
1783126800,0.026,72476.38,2026-07-04 01:00:00+00:00
1783130400,0.024,179879.55,2026-07-04 02:00:00+00:00
1783134000,0.024,105445.96,2026-07-04 03:00:00+00:00
1783137600,0.022,173147.97,2026-07-04 04:00:00+00:00
1783141200,0.023,95714.74,2026-07-04 05:00:00+00:00
1783144800,0.023,64488.52,2026-07-04 06:00:00+00:00
1783148400,0.023,78477.05,2026-07-04 07:00:00+00:00
1783152000,0.023,44121.02,2026-07-04 08:00:00+00:00
1783155600,0.023,30782.83,2026-07-04 09:00:00+00:00
1783159200,0.023,14785.16,2026-07-04 10:00:00+00:00
1783162800,0.025,43550.01,2026-07-04 11:00:00+00:00
1783166400,0.026,12192.85,2026-07-04 12:00:00+00:00
1783170000,0.026,58418.21,2026-07-04 13:00:00+00:00
1783173600,0.025,49163.24,2026-07-04 14:00:00+00:00
1783177200,0.026,68409.61,2026-07-04 15:00:00+00:00
1783180800,0.025,132005.09,2026-07-04 16:00:00+00:00
1783184400,0.027,128146.74,2026-07-04 17:00:00+00:00
1783188000,0.023,151144.45,2026-07-04 18:00:00+00:00
1783191600,0.03,496590.5,2026-07-04 19:00:00+00:00
1783195200,0.026,850022.44,2026-07-04 20:00:00+00:00
1783198800,0.028,208019.62,2026-07-04 21:00:00+00:00
1783202400,0.028,112091.1,2026-07-04 22:00:00+00:00
1783206000,0.026,194314.11,2026-07-04 23:00:00+00:00
1783209600,0.029,301273.67,2026-07-05 00:00:00+00:00
1783213200,0.027,125664.0,2026-07-05 01:00:00+00:00
1783216800,0.028,132204.94,2026-07-05 02:00:00+00:00
1783220400,0.03,70259.23,2026-07-05 03:00:00+00:00
1783224000,0.029,55301.5,2026-07-05 04:00:00+00:00
1783227600,0.025,77243.24,2026-07-05 05:00:00+00:00
1783231200,0.028,59411.84,2026-07-05 06:00:00+00:00
1783234800,0.028,41004.46,2026-07-05 07:00:00+00:00
1783238400,0.028,52030.88,2026-07-05 08:00:00+00:00
1783242000,0.028,10825.96,2026-07-05 09:00:00+00:00
1783245600,0.028,3702.4,2026-07-05 10:00:00+00:00
1783249200,0.028,14354.63,2026-07-05 11:00:00+00:00
1783252800,0.027,9184.62,2026-07-05 12:00:00+00:00
1783256400,0.026,33396.1,2026-07-05 13:00:00+00:00
1783260000,0.028,65003.42,2026-07-05 14:00:00+00:00
1783263600,0.029,22558.5,2026-07-05 15:00:00+00:00
1783267200,0.028,39668.77,2026-07-05 16:00:00+00:00
1783270800,0.027,42109.45,2026-07-05 17:00:00+00:00
1783274400,0.026,39473.42,2026-07-05 18:00:00+00:00
1783278000,0.027,110988.9,2026-07-05 19:00:00+00:00
1783281600,0.026,87678.2,2026-07-05 20:00:00+00:00
1783285200,0.028,72316.18,2026-07-05 21:00:00+00:00
1783288800,0.028,137058.39,2026-07-05 22:00:00+00:00
1783292400,0.029,306592.55,2026-07-05 23:00:00+00:00
1783296000,0.029,199863.98,2026-07-06 00:00:00+00:00
1783299600,0.028,161694.87,2026-07-06 01:00:00+00:00
1783303200,0.031,136063.06,2026-07-06 02:00:00+00:00
1783306800,0.029,143451.52,2026-07-06 03:00:00+00:00
1783310400,0.03,546395.52,2026-07-06 04:00:00+00:00
1783314000,0.028,126735.38,2026-07-06 05:00:00+00:00
1783317600,0.029,124308.09,2026-07-06 06:00:00+00:00
1783321200,0.029,50069.29,2026-07-06 07:00:00+00:00
1783324800,0.029,67966.24,2026-07-06 08:00:00+00:00
1783328400,0.028,22612.55,2026-07-06 09:00:00+00:00
1783332000,0.028,9157.73,2026-07-06 10:00:00+00:00
1783335600,0.027,42803.59,2026-07-06 11:00:00+00:00
1783339200,0.03,92420.14,2026-07-06 12:00:00+00:00
1783342800,0.028,85055.4,2026-07-06 13:00:00+00:00
1783346400,0.028,53509.44,2026-07-06 14:00:00+00:00
1783350000,0.03,91700.48,2026-07-06 15:00:00+00:00
1783353600,0.03,77026.51,2026-07-06 16:00:00+00:00
1783357200,0.029,36171.25,2026-07-06 17:00:00+00:00
1783360800,0.03,112819.02,2026-07-06 18:00:00+00:00
1783364400,0.03,69570.86,2026-07-06 19:00:00+00:00
1783368000,0.031,68622.3,2026-07-06 20:00:00+00:00
1783371600,0.028,141427.15,2026-07-06 21:00:00+00:00
1783375200,0.029,213399.44,2026-07-06 22:00:00+00:00
1783378800,0.029,140458.3,2026-07-06 23:00:00+00:00
1783382400,0.026,105138.2,2026-07-07 00:00:00+00:00
1783386000,0.03,133126.06,2026-07-07 01:00:00+00:00
1783389600,0.031,88493.28,2026-07-07 02:00:00+00:00
1783393200,0.03,399776.33,2026-07-07 03:00:00+00:00
1783396800,0.032,106529.55,2026-07-07 04:00:00+00:00
