ts,price,volume,dt
1782630000,0.028,103588.99,2026-06-28 07:00:00+00:00
1782633600,0.03,40040.59,2026-06-28 08:00:00+00:00
1782637200,0.03,39388.81,2026-06-28 09:00:00+00:00
1782640800,0.031,27836.05,2026-06-28 10:00:00+00:00
1782644400,0.031,27763.59,2026-06-28 11:00:00+00:00
1782648000,0.031,50739.87,2026-06-28 12:00:00+00:00
1782651600,0.03,45350.9,2026-06-28 13:00:00+00:00
1782655200,0.029,140367.01,2026-06-28 14:00:00+00:00
1782658800,0.03,55444.73,2026-06-28 15:00:00+00:00
1782662400,0.03,106687.49,2026-06-28 16:00:00+00:00
1782666000,0.032,131289.79,2026-06-28 17:00:00+00:00
1782669600,0.033,159570.98,2026-06-28 18:00:00+00:00
1782673200,0.034,176268.05,2026-06-28 19:00:00+00:00
1782676800,0.035,153671.44,2026-06-28 20:00:00+00:00
1782680400,0.035,118441.87,2026-06-28 21:00:00+00:00
1782684000,0.033,191283.61,2026-06-28 22:00:00+00:00
1782687600,0.033,137170.35,2026-06-28 23:00:00+00:00
1782691200,0.032,115637.01,2026-06-29 00:00:00+00:00
1782694800,0.035,108626.75,2026-06-29 01:00:00+00:00
1782698400,0.034,133938.27,2026-06-29 02:00:00+00:00
1782702000,0.031,92368.71,2026-06-29 03:00:00+00:00
1782705600,0.033,106246.7,2026-06-29 04:00:00+00:00
1782709200,0.031,112460.92,2026-06-29 05:00:00+00:00
1782712800,0.03,59388.75,2026-06-29 06:00:00+00:00
1782716400,0.03,81807.01,2026-06-29 07:00:00+00:00
1782720000,0.03,34320.11,2026-06-29 08:00:00+00:00
1782723600,0.031,35312.45,2026-06-29 09:00:00+00:00
1782727200,0.031,20042.13,2026-06-29 10:00:00+00:00
1782730800,0.031,21111.73,2026-06-29 11:00:00+00:00
1782734400,0.031,16471.05,2026-06-29 12:00:00+00:00
1782738000,0.031,12724.67,2026-06-29 13:00:00+00:00
1782741600,0.029,95199.58,2026-06-29 14:00:00+00:00
1782745200,0.026,209201.63,2026-06-29 15:00:00+00:00
1782748800,0.028,153145.89,2026-06-29 16:00:00+00:00
1782752400,0.027,128008.99,2026-06-29 17:00:00+00:00
1782756000,0.03,193846.56,2026-06-29 18:00:00+00:00
1782759600,0.033,127937.65,2026-06-29 19:00:00+00:00
1782763200,0.031,195661.91,2026-06-29 20:00:00+00:00
1782766800,0.03,120911.37,2026-06-29 21:00:00+00:00
1782770400,0.031,151582.0,2026-06-29 22:00:00+00:00
1782774000,0.032,137531.13,2026-06-29 23:00:00+00:00
1782777600,0.033,275162.51,2026-06-30 00:00:00+00:00
1782781200,0.033,307314.39,2026-06-30 01:00:00+00:00
1782784800,0.033,157841.09,2026-06-30 02:00:00+00:00
1782788400,0.03,365787.17,2026-06-30 03:00:00+00:00
1782792000,0.031,602956.4,2026-06-30 04:00:00+00:00
1782795600,0.033,595514.75,2026-06-30 05:00:00+00:00
1782799200,0.033,150872.76,2026-06-30 06:00:00+00:00
1782802800,0.032,158936.46,2026-06-30 07:00:00+00:00
1782806400,0.033,83944.97,2026-06-30 08:00:00+00:00
1782810000,0.028,54590.01,2026-06-30 09:00:00+00:00
1782813600,0.033,45133.27,2026-06-30 10:00:00+00:00
1782817200,0.031,33381.33,2026-06-30 11:00:00+00:00
1782820800,0.03,31679.62,2026-06-30 12:00:00+00:00
1782824400,0.024,87612.55,2026-06-30 13:00:00+00:00
1782828000,0.029,129175.08,2026-06-30 14:00:00+00:00
1782831600,0.023,153994.1,2026-06-30 15:00:00+00:00
1782835200,0.03,273295.83,2026-06-30 16:00:00+00:00
1782838800,0.029,222277.33,2026-06-30 17:00:00+00:00
1782842400,0.03,187396.75,2026-06-30 18:00:00+00:00
1782846000,0.03,295914.46,2026-06-30 19:00:00+00:00
1782849600,0.033,375060.99,2026-06-30 20:00:00+00:00
1782853200,0.03,296773.08,2026-06-30 21:00:00+00:00
1782856800,0.035,264366.88,2026-06-30 22:00:00+00:00
1782860400,0.035,398489.98,2026-06-30 23:00:00+00:00
1782864000,0.037,491024.73,2026-07-01 00:00:00+00:00
1782867600,0.035,484869.61,2026-07-01 01:00:00+00:00
1782871200,0.034,519352.78,2026-07-01 02:00:00+00:00
1782874800,0.056,1584080.28,2026-07-01 03:00:00+00:00
1782878400,0.051,870216.55,2026-07-01 04:00:00+00:00
1782882000,0.051,1207699.45,2026-07-01 05:00:00+00:00
1782885600,0.051,640193.88,2026-07-01 06:00:00+00:00
1782889200,0.041,536792.15,2026-07-01 07:00:00+00:00
1782892800,0.053,221418.08,2026-07-01 08:00:00+00:00
1782896400,0.049,86120.57,2026-07-01 09:00:00+00:00
1782900000,0.05,112806.33,2026-07-01 10:00:00+00:00
1782903600,0.052,85977.49,2026-07-01 11:00:00+00:00
1782907200,0.05,135636.76,2026-07-01 12:00:00+00:00
1782910800,0.052,150837.23,2026-07-01 13:00:00+00:00
1782914400,0.047,160169.75,2026-07-01 14:00:00+00:00
1782918000,0.053,265643.11,2026-07-01 15:00:00+00:00
1782921600,0.053,215808.96,2026-07-01 16:00:00+00:00
1782925200,0.054,365323.75,2026-07-01 17:00:00+00:00
1782928800,0.045,583334.05,2026-07-01 18:00:00+00:00
1782932400,0.047,612401.04,2026-07-01 19:00:00+00:00
1782936000,0.047,337520.78,2026-07-01 20:00:00+00:00
