ts,price,volume,dt
1782630000,0.052,28289.85,2026-06-28 07:00:00+00:00
1782633600,0.052,30254.46,2026-06-28 08:00:00+00:00
1782637200,0.052,20642.37,2026-06-28 09:00:00+00:00
1782640800,0.05,19657.92,2026-06-28 10:00:00+00:00
1782644400,0.05,19788.96,2026-06-28 11:00:00+00:00
1782648000,0.049,26772.12,2026-06-28 12:00:00+00:00
1782651600,0.05,9260.45,2026-06-28 13:00:00+00:00
1782655200,0.049,37550.45,2026-06-28 14:00:00+00:00
1782658800,0.049,56073.02,2026-06-28 15:00:00+00:00
1782662400,0.049,49868.54,2026-06-28 16:00:00+00:00
1782666000,0.053,143608.02,2026-06-28 17:00:00+00:00
1782669600,0.055,67806.24,2026-06-28 18:00:00+00:00
1782673200,0.062,54475.52,2026-06-28 19:00:00+00:00
1782676800,0.062,54575.38,2026-06-28 20:00:00+00:00
1782680400,0.062,72508.83,2026-06-28 21:00:00+00:00
1782684000,0.06,70885.44,2026-06-28 22:00:00+00:00
1782687600,0.058,97820.36,2026-06-28 23:00:00+00:00
1782691200,0.059,38875.7,2026-06-29 00:00:00+00:00
1782694800,0.057,37863.02,2026-06-29 01:00:00+00:00
1782698400,0.058,71987.75,2026-06-29 02:00:00+00:00
1782702000,0.056,90641.91,2026-06-29 03:00:00+00:00
1782705600,0.057,26135.9,2026-06-29 04:00:00+00:00
1782709200,0.056,43267.31,2026-06-29 05:00:00+00:00
1782712800,0.054,47194.48,2026-06-29 06:00:00+00:00
1782716400,0.054,34802.39,2026-06-29 07:00:00+00:00
1782720000,0.05,19807.05,2026-06-29 08:00:00+00:00
1782723600,0.05,18949.74,2026-06-29 09:00:00+00:00
1782727200,0.05,6214.63,2026-06-29 10:00:00+00:00
1782730800,0.05,29399.87,2026-06-29 11:00:00+00:00
1782734400,0.049,35051.94,2026-06-29 12:00:00+00:00
1782738000,0.05,15329.85,2026-06-29 13:00:00+00:00
1782741600,0.05,22972.77,2026-06-29 14:00:00+00:00
1782745200,0.05,112059.37,2026-06-29 15:00:00+00:00
1782748800,0.049,98582.75,2026-06-29 16:00:00+00:00
1782752400,0.052,105118.7,2026-06-29 17:00:00+00:00
1782756000,0.056,114822.91,2026-06-29 18:00:00+00:00
1782759600,0.056,49149.05,2026-06-29 19:00:00+00:00
1782763200,0.053,175729.9,2026-06-29 20:00:00+00:00
1782766800,0.053,80282.57,2026-06-29 21:00:00+00:00
1782770400,0.051,78479.58,2026-06-29 22:00:00+00:00
1782774000,0.051,96262.7,2026-06-29 23:00:00+00:00
1782777600,0.061,196395.76,2026-06-30 00:00:00+00:00
1782781200,0.065,328572.05,2026-06-30 01:00:00+00:00
1782784800,0.052,171666.63,2026-06-30 02:00:00+00:00
1782788400,0.055,392877.92,2026-06-30 03:00:00+00:00
1782792000,0.001,297080.73,2026-06-30 04:00:00+00:00
1782795600,0.001,11408.35,2026-06-30 05:00:00+00:00
