ts,price,volume,dt
1782630000,0.022,20847.92,2026-06-28 07:00:00+00:00
1782633600,0.022,18125.14,2026-06-28 08:00:00+00:00
1782637200,0.021,8289.21,2026-06-28 09:00:00+00:00
1782640800,0.022,9672.7,2026-06-28 10:00:00+00:00
1782644400,0.021,6357.15,2026-06-28 11:00:00+00:00
1782648000,0.022,2343.23,2026-06-28 12:00:00+00:00
1782651600,0.022,19305.08,2026-06-28 13:00:00+00:00
1782655200,0.019,41900.53,2026-06-28 14:00:00+00:00
1782658800,0.02,21801.32,2026-06-28 15:00:00+00:00
1782662400,0.019,73717.86,2026-06-28 16:00:00+00:00
1782666000,0.02,30023.21,2026-06-28 17:00:00+00:00
1782669600,0.019,30329.54,2026-06-28 18:00:00+00:00
1782673200,0.022,77288.72,2026-06-28 19:00:00+00:00
1782676800,0.022,69713.16,2026-06-28 20:00:00+00:00
1782680400,0.022,29097.37,2026-06-28 21:00:00+00:00
1782684000,0.02,63202.83,2026-06-28 22:00:00+00:00
1782687600,0.02,32424.87,2026-06-28 23:00:00+00:00
1782691200,0.019,52701.59,2026-06-29 00:00:00+00:00
1782694800,0.02,39716.25,2026-06-29 01:00:00+00:00
1782698400,0.02,16483.44,2026-06-29 02:00:00+00:00
1782702000,0.018,59816.94,2026-06-29 03:00:00+00:00
1782705600,0.019,9422.65,2026-06-29 04:00:00+00:00
1782709200,0.019,124925.37,2026-06-29 05:00:00+00:00
1782712800,0.019,9253.56,2026-06-29 06:00:00+00:00
1782716400,0.019,13757.17,2026-06-29 07:00:00+00:00
1782720000,0.019,125459.9,2026-06-29 08:00:00+00:00
1782723600,0.019,769.2,2026-06-29 09:00:00+00:00
1782727200,0.018,12540.34,2026-06-29 10:00:00+00:00
1782730800,0.019,6984.07,2026-06-29 11:00:00+00:00
1782734400,0.019,6440.63,2026-06-29 12:00:00+00:00
1782738000,0.019,997.93,2026-06-29 13:00:00+00:00
1782741600,0.019,4190.73,2026-06-29 14:00:00+00:00
1782745200,0.019,39780.98,2026-06-29 15:00:00+00:00
1782748800,0.019,15575.53,2026-06-29 16:00:00+00:00
1782752400,0.019,68522.36,2026-06-29 17:00:00+00:00
1782756000,0.025,332091.13,2026-06-29 18:00:00+00:00
1782759600,0.02,39293.69,2026-06-29 19:00:00+00:00
1782763200,0.018,274236.49,2026-06-29 20:00:00+00:00
1782766800,0.018,26473.78,2026-06-29 21:00:00+00:00
1782770400,0.019,131347.7,2026-06-29 22:00:00+00:00
1782774000,0.019,19493.18,2026-06-29 23:00:00+00:00
1782777600,0.02,75943.86,2026-06-30 00:00:00+00:00
1782781200,0.02,65451.7,2026-06-30 01:00:00+00:00
1782784800,0.019,37767.66,2026-06-30 02:00:00+00:00
1782788400,0.02,43728.57,2026-06-30 03:00:00+00:00
1782792000,0.02,146158.32,2026-06-30 04:00:00+00:00
1782795600,0.02,158516.95,2026-06-30 05:00:00+00:00
1782799200,0.021,110419.16,2026-06-30 06:00:00+00:00
1782802800,0.021,56483.3,2026-06-30 07:00:00+00:00
1782806400,0.021,42106.03,2026-06-30 08:00:00+00:00
1782810000,0.021,17701.16,2026-06-30 09:00:00+00:00
1782813600,0.021,4501.61,2026-06-30 10:00:00+00:00
1782817200,0.021,23484.31,2026-06-30 11:00:00+00:00
1782820800,0.021,11253.9,2026-06-30 12:00:00+00:00
1782824400,0.021,114617.58,2026-06-30 13:00:00+00:00
1782828000,0.021,12290.63,2026-06-30 14:00:00+00:00
1782831600,0.021,39112.32,2026-06-30 15:00:00+00:00
1782835200,0.021,90016.76,2026-06-30 16:00:00+00:00
1782838800,0.021,149289.01,2026-06-30 17:00:00+00:00
1782842400,0.032,145644.56,2026-06-30 18:00:00+00:00
1782846000,0.03,256571.65,2026-06-30 19:00:00+00:00
1782849600,0.026,251907.98,2026-06-30 20:00:00+00:00
1782853200,0.025,57541.98,2026-06-30 21:00:00+00:00
