ts,price,volume,dt
1782630000,0.065,62513.99,2026-06-28 07:00:00+00:00
1782633600,0.065,25448.41,2026-06-28 08:00:00+00:00
1782637200,0.059,51126.34,2026-06-28 09:00:00+00:00
1782640800,0.058,26866.82,2026-06-28 10:00:00+00:00
1782644400,0.061,40418.18,2026-06-28 11:00:00+00:00
1782648000,0.061,16114.38,2026-06-28 12:00:00+00:00
1782651600,0.061,109152.08,2026-06-28 13:00:00+00:00
1782655200,0.061,53867.65,2026-06-28 14:00:00+00:00
1782658800,0.062,99352.64,2026-06-28 15:00:00+00:00
1782662400,0.063,48261.71,2026-06-28 16:00:00+00:00
1782666000,0.065,71287.87,2026-06-28 17:00:00+00:00
1782669600,0.065,62057.67,2026-06-28 18:00:00+00:00
1782673200,0.065,59430.95,2026-06-28 19:00:00+00:00
1782676800,0.066,112850.54,2026-06-28 20:00:00+00:00
1782680400,0.065,166497.42,2026-06-28 21:00:00+00:00
1782684000,0.066,75489.37,2026-06-28 22:00:00+00:00
1782687600,0.066,45571.87,2026-06-28 23:00:00+00:00
1782691200,0.066,56073.35,2026-06-29 00:00:00+00:00
1782694800,0.066,34866.83,2026-06-29 01:00:00+00:00
1782698400,0.066,57361.8,2026-06-29 02:00:00+00:00
1782702000,0.066,41978.73,2026-06-29 03:00:00+00:00
1782705600,0.063,73344.7,2026-06-29 04:00:00+00:00
1782709200,0.064,79676.22,2026-06-29 05:00:00+00:00
1782712800,0.059,46896.26,2026-06-29 06:00:00+00:00
1782716400,0.063,38434.29,2026-06-29 07:00:00+00:00
1782720000,0.062,62807.29,2026-06-29 08:00:00+00:00
1782723600,0.062,6930.08,2026-06-29 09:00:00+00:00
1782727200,0.062,34478.55,2026-06-29 10:00:00+00:00
1782730800,0.062,12718.71,2026-06-29 11:00:00+00:00
1782734400,0.062,33954.92,2026-06-29 12:00:00+00:00
1782738000,0.063,30348.74,2026-06-29 13:00:00+00:00
1782741600,0.058,50565.37,2026-06-29 14:00:00+00:00
1782745200,0.06,156462.12,2026-06-29 15:00:00+00:00
1782748800,0.063,28474.88,2026-06-29 16:00:00+00:00
1782752400,0.065,118038.76,2026-06-29 17:00:00+00:00
1782756000,0.063,105182.05,2026-06-29 18:00:00+00:00
1782759600,0.066,52296.47,2026-06-29 19:00:00+00:00
1782763200,0.066,48198.2,2026-06-29 20:00:00+00:00
1782766800,0.067,27342.3,2026-06-29 21:00:00+00:00
1782770400,0.063,158748.18,2026-06-29 22:00:00+00:00
1782774000,0.065,74215.98,2026-06-29 23:00:00+00:00
1782777600,0.071,148800.12,2026-06-30 00:00:00+00:00
1782781200,0.069,106201.74,2026-06-30 01:00:00+00:00
1782784800,0.069,55785.82,2026-06-30 02:00:00+00:00
1782788400,0.07,49315.72,2026-06-30 03:00:00+00:00
1782792000,0.069,61784.41,2026-06-30 04:00:00+00:00
1782795600,0.068,156634.19,2026-06-30 05:00:00+00:00
1782799200,0.067,83708.04,2026-06-30 06:00:00+00:00
1782802800,0.068,80294.91,2026-06-30 07:00:00+00:00
1782806400,0.068,27934.8,2026-06-30 08:00:00+00:00
1782810000,0.067,30231.32,2026-06-30 09:00:00+00:00
1782813600,0.067,5285.9,2026-06-30 10:00:00+00:00
1782817200,0.066,6480.55,2026-06-30 11:00:00+00:00
1782820800,0.065,31217.24,2026-06-30 12:00:00+00:00
1782824400,0.066,61617.2,2026-06-30 13:00:00+00:00
1782828000,0.066,49594.02,2026-06-30 14:00:00+00:00
1782831600,0.066,48731.79,2026-06-30 15:00:00+00:00
1782835200,0.066,39233.7,2026-06-30 16:00:00+00:00
1782838800,0.066,172535.65,2026-06-30 17:00:00+00:00
1782842400,0.067,122719.81,2026-06-30 18:00:00+00:00
1782846000,0.067,53321.41,2026-06-30 19:00:00+00:00
1782849600,0.067,68543.35,2026-06-30 20:00:00+00:00
1782853200,0.067,72371.13,2026-06-30 21:00:00+00:00
1782856800,0.067,389141.41,2026-06-30 22:00:00+00:00
1782860400,0.056,140447.31,2026-06-30 23:00:00+00:00
1782864000,0.062,216397.3,2026-07-01 00:00:00+00:00
1782867600,0.064,93375.22,2026-07-01 01:00:00+00:00
1782871200,0.064,61138.87,2026-07-01 02:00:00+00:00
1782874800,0.064,92743.48,2026-07-01 03:00:00+00:00
1782878400,0.064,155181.52,2026-07-01 04:00:00+00:00
1782882000,0.064,193564.88,2026-07-01 05:00:00+00:00
1782885600,0.064,102763.65,2026-07-01 06:00:00+00:00
1782889200,0.064,61088.29,2026-07-01 07:00:00+00:00
1782892800,0.065,56863.58,2026-07-01 08:00:00+00:00
1782896400,0.064,17369.79,2026-07-01 09:00:00+00:00
1782900000,0.064,23512.82,2026-07-01 10:00:00+00:00
1782903600,0.064,36897.89,2026-07-01 11:00:00+00:00
1782907200,0.064,60732.29,2026-07-01 12:00:00+00:00
1782910800,0.063,45356.44,2026-07-01 13:00:00+00:00
1782914400,0.065,97757.31,2026-07-01 14:00:00+00:00
1782918000,0.068,86577.95,2026-07-01 15:00:00+00:00
1782921600,0.068,182745.75,2026-07-01 16:00:00+00:00
1782925200,0.065,151535.37,2026-07-01 17:00:00+00:00
1782928800,0.071,148176.06,2026-07-01 18:00:00+00:00
1782932400,0.062,89089.29,2026-07-01 19:00:00+00:00
1782936000,0.056,79344.21,2026-07-01 20:00:00+00:00
1782939600,0.065,74323.15,2026-07-01 21:00:00+00:00
1782943200,0.067,69497.0,2026-07-01 22:00:00+00:00
1782946800,0.067,95647.13,2026-07-01 23:00:00+00:00
1782950400,0.062,54451.81,2026-07-02 00:00:00+00:00
1782954000,0.063,86368.49,2026-07-02 01:00:00+00:00
1782957600,0.065,107501.89,2026-07-02 02:00:00+00:00
1782961200,0.061,228480.41,2026-07-02 03:00:00+00:00
1782964800,0.063,243994.84,2026-07-02 04:00:00+00:00
1782968400,0.061,122491.86,2026-07-02 05:00:00+00:00
1782972000,0.058,86347.87,2026-07-02 06:00:00+00:00
1782975600,0.063,68541.44,2026-07-02 07:00:00+00:00
1782986400,0.062,32168.3,2026-07-02 10:00:00+00:00
1782990000,0.063,27400.74,2026-07-02 11:00:00+00:00
1782993600,0.064,41400.0,2026-07-02 12:00:00+00:00
