ts,price,volume,dt
1782630000,0.001,1850.8,2026-06-28 07:00:00+00:00
1782637200,0.001,925.4,2026-06-28 09:00:00+00:00
1782640800,0.001,9340.0,2026-06-28 10:00:00+00:00
1782644400,0.001,2785.4,2026-06-28 11:00:00+00:00
1782655200,0.001,24282.2,2026-06-28 14:00:00+00:00
1782662400,0.001,19664.9,2026-06-28 16:00:00+00:00
1782666000,0.001,3885.8,2026-06-28 17:00:00+00:00
1782673200,0.001,2766.8,2026-06-28 19:00:00+00:00
1782676800,0.001,51368.1,2026-06-28 20:00:00+00:00
1782680400,0.001,10692.5,2026-06-28 21:00:00+00:00
1782684000,0.001,7921.9,2026-06-28 22:00:00+00:00
1782687600,0.001,2876.2,2026-06-28 23:00:00+00:00
1782691200,0.001,5789.3,2026-06-29 00:00:00+00:00
1782694800,0.001,74743.4,2026-06-29 01:00:00+00:00
1782698400,0.001,925.4,2026-06-29 02:00:00+00:00
1782702000,0.001,14001.0,2026-06-29 03:00:00+00:00
1782705600,0.001,1850.8,2026-06-29 04:00:00+00:00
1782709200,0.001,1305.7,2026-06-29 05:00:00+00:00
1782712800,0.001,3860.5,2026-06-29 06:00:00+00:00
1782720000,0.001,4663.9,2026-06-29 08:00:00+00:00
1782723600,0.001,10000.0,2026-06-29 09:00:00+00:00
1782730800,0.001,930.0,2026-06-29 11:00:00+00:00
1782734400,0.001,66824.19,2026-06-29 12:00:00+00:00
1782738000,0.001,19250.0,2026-06-29 13:00:00+00:00
1782741600,0.001,155.0,2026-06-29 14:00:00+00:00
1782745200,0.001,26012.3,2026-06-29 15:00:00+00:00
1782748800,0.001,17188.3,2026-06-29 16:00:00+00:00
1782752400,0.001,100.0,2026-06-29 17:00:00+00:00
1782756000,0.001,147925.8,2026-06-29 18:00:00+00:00
1782759600,0.001,138300.3,2026-06-29 19:00:00+00:00
1782763200,0.001,25139.3,2026-06-29 20:00:00+00:00
1782766800,0.001,51194.3,2026-06-29 21:00:00+00:00
1782770400,0.001,2877075.54,2026-06-29 22:00:00+00:00
1782774000,0.001,151976.32,2026-06-29 23:00:00+00:00
1782777600,0.004,1250098.5,2026-06-30 00:00:00+00:00
1782781200,0.003,194853.32,2026-06-30 01:00:00+00:00
1782784800,0.003,553848.73,2026-06-30 02:00:00+00:00
1782788400,0.004,388060.21,2026-06-30 03:00:00+00:00
1782792000,0.004,309344.76,2026-06-30 04:00:00+00:00
1782795600,0.004,166280.97,2026-06-30 05:00:00+00:00
1782799200,0.004,31698.59,2026-06-30 06:00:00+00:00
1782802800,0.004,20413.29,2026-06-30 07:00:00+00:00
1782806400,0.004,86364.85,2026-06-30 08:00:00+00:00
1782810000,0.004,25917.57,2026-06-30 09:00:00+00:00
1782813600,0.004,8795.24,2026-06-30 10:00:00+00:00
1782817200,0.004,34097.6,2026-06-30 11:00:00+00:00
1782820800,0.004,30341.62,2026-06-30 12:00:00+00:00
1782824400,0.004,12449.85,2026-06-30 13:00:00+00:00
1782828000,0.004,37506.42,2026-06-30 14:00:00+00:00
1782831600,0.004,55819.52,2026-06-30 15:00:00+00:00
1782835200,0.004,49990.03,2026-06-30 16:00:00+00:00
1782838800,0.004,6988.86,2026-06-30 17:00:00+00:00
1782842400,0.004,65777.27,2026-06-30 18:00:00+00:00
1782846000,0.004,56969.24,2026-06-30 19:00:00+00:00
1782849600,0.004,17201.22,2026-06-30 20:00:00+00:00
1782853200,0.004,17644.24,2026-06-30 21:00:00+00:00
1782856800,0.004,15604.16,2026-06-30 22:00:00+00:00
1782860400,0.004,18563.27,2026-06-30 23:00:00+00:00
1782864000,0.004,69153.64,2026-07-01 00:00:00+00:00
1782867600,0.004,103326.72,2026-07-01 01:00:00+00:00
1782871200,0.004,96541.26,2026-07-01 02:00:00+00:00
1782874800,0.004,50775.2,2026-07-01 03:00:00+00:00
1782878400,0.004,69007.29,2026-07-01 04:00:00+00:00
1782882000,0.003,413784.23,2026-07-01 05:00:00+00:00
1782885600,0.003,209856.16,2026-07-01 06:00:00+00:00
1782889200,0.003,42590.77,2026-07-01 07:00:00+00:00
1782892800,0.003,13421.24,2026-07-01 08:00:00+00:00
1782896400,0.003,8980.21,2026-07-01 09:00:00+00:00
1782900000,0.003,3729.76,2026-07-01 10:00:00+00:00
1782903600,0.003,308.5,2026-07-01 11:00:00+00:00
1782907200,0.003,19561.49,2026-07-01 12:00:00+00:00
1782910800,0.003,11316.93,2026-07-01 13:00:00+00:00
1782914400,0.003,41105.34,2026-07-01 14:00:00+00:00
1782918000,0.003,24584.56,2026-07-01 15:00:00+00:00
1782921600,0.003,15060.91,2026-07-01 16:00:00+00:00
1782925200,0.003,16947.62,2026-07-01 17:00:00+00:00
1782928800,0.003,23324.49,2026-07-01 18:00:00+00:00
1782932400,0.003,69341.23,2026-07-01 19:00:00+00:00
1782936000,0.003,24230.2,2026-07-01 20:00:00+00:00
1782939600,0.003,13747.44,2026-07-01 21:00:00+00:00
1782943200,0.003,27510.81,2026-07-01 22:00:00+00:00
1782946800,0.002,21671.57,2026-07-01 23:00:00+00:00
1782950400,0.002,300356.23,2026-07-02 00:00:00+00:00
1782954000,0.002,69578.25,2026-07-02 01:00:00+00:00
1782957600,0.002,84183.8,2026-07-02 02:00:00+00:00
1782961200,0.003,386890.11,2026-07-02 03:00:00+00:00
1782964800,0.002,56271.41,2026-07-02 04:00:00+00:00
1782968400,0.003,136489.8,2026-07-02 05:00:00+00:00
1782972000,0.003,44941.64,2026-07-02 06:00:00+00:00
1782975600,0.003,38447.45,2026-07-02 07:00:00+00:00
1782986400,0.003,97188.2,2026-07-02 10:00:00+00:00
1782990000,0.003,21209.87,2026-07-02 11:00:00+00:00
1782993600,0.003,54827.22,2026-07-02 12:00:00+00:00
1782997200,0.003,21105.42,2026-07-02 13:00:00+00:00
1783000800,0.003,6157.93,2026-07-02 14:00:00+00:00
1783004400,0.002,52125.84,2026-07-02 15:00:00+00:00
1783008000,0.003,64907.7,2026-07-02 16:00:00+00:00
1783011600,0.003,27235.99,2026-07-02 17:00:00+00:00
1783015200,0.002,13174.28,2026-07-02 18:00:00+00:00
1783018800,0.002,27423.74,2026-07-02 19:00:00+00:00
1783022400,0.002,69225.54,2026-07-02 20:00:00+00:00
1783026000,0.002,260268.88,2026-07-02 21:00:00+00:00
1783029600,0.002,2495.2,2026-07-02 22:00:00+00:00
1783033200,0.002,258634.58,2026-07-02 23:00:00+00:00
1783036800,0.002,96306.08,2026-07-03 00:00:00+00:00
1783040400,0.002,46695.99,2026-07-03 01:00:00+00:00
1783044000,0.002,63439.44,2026-07-03 02:00:00+00:00
1783047600,0.002,95339.1,2026-07-03 03:00:00+00:00
1783051200,0.002,39208.84,2026-07-03 04:00:00+00:00
1783054800,0.002,62805.34,2026-07-03 05:00:00+00:00
1783058400,0.002,2994.04,2026-07-03 06:00:00+00:00
1783062000,0.002,9800.0,2026-07-03 07:00:00+00:00
1783065600,0.002,63080.9,2026-07-03 08:00:00+00:00
1783069200,0.002,45434.1,2026-07-03 09:00:00+00:00
1783072800,0.002,9348.65,2026-07-03 10:00:00+00:00
1783076400,0.002,4670.85,2026-07-03 11:00:00+00:00
1783083600,0.002,2365.15,2026-07-03 13:00:00+00:00
1783087200,0.002,14788.2,2026-07-03 14:00:00+00:00
1783090800,0.002,18063.36,2026-07-03 15:00:00+00:00
1783094400,0.002,46721.65,2026-07-03 16:00:00+00:00
1783098000,0.002,8514.89,2026-07-03 17:00:00+00:00
1783101600,0.002,9316.04,2026-07-03 18:00:00+00:00
1783105200,0.002,98922.1,2026-07-03 19:00:00+00:00
1783108800,0.002,90204.46,2026-07-03 20:00:00+00:00
1783112400,0.002,275472.09,2026-07-03 21:00:00+00:00
1783116000,0.002,115517.3,2026-07-03 22:00:00+00:00
1783119600,0.002,19213.93,2026-07-03 23:00:00+00:00
1783123200,0.002,88342.3,2026-07-04 00:00:00+00:00
1783126800,0.002,281231.08,2026-07-04 01:00:00+00:00
1783130400,0.002,166106.22,2026-07-04 02:00:00+00:00
1783134000,0.002,117815.75,2026-07-04 03:00:00+00:00
1783137600,0.002,130836.43,2026-07-04 04:00:00+00:00
1783141200,0.002,233075.0,2026-07-04 05:00:00+00:00
1783144800,0.002,107414.56,2026-07-04 06:00:00+00:00
1783148400,0.002,67756.21,2026-07-04 07:00:00+00:00
1783152000,0.002,40048.33,2026-07-04 08:00:00+00:00
1783155600,0.002,78146.69,2026-07-04 09:00:00+00:00
1783159200,0.002,37708.27,2026-07-04 10:00:00+00:00
1783162800,0.002,53252.45,2026-07-04 11:00:00+00:00
1783166400,0.002,8858.95,2026-07-04 12:00:00+00:00
1783170000,0.002,43919.69,2026-07-04 13:00:00+00:00
1783173600,0.002,113999.25,2026-07-04 14:00:00+00:00
1783177200,0.002,49629.69,2026-07-04 15:00:00+00:00
1783180800,0.002,167132.41,2026-07-04 16:00:00+00:00
1783184400,0.002,264921.66,2026-07-04 17:00:00+00:00
1783188000,0.002,228421.97,2026-07-04 18:00:00+00:00
1783191600,0.002,326717.04,2026-07-04 19:00:00+00:00
1783195200,0.002,463867.11,2026-07-04 20:00:00+00:00
1783198800,0.003,414286.08,2026-07-04 21:00:00+00:00
1783202400,0.003,410043.32,2026-07-04 22:00:00+00:00
1783206000,0.001,879523.03,2026-07-04 23:00:00+00:00
1783209600,0.001,52516.4,2026-07-05 00:00:00+00:00
1783213200,0.001,12125.7,2026-07-05 01:00:00+00:00
