ts,price,volume,dt
1782630000,0.001,302325.4,2026-06-28 07:00:00+00:00
1782633600,0.001,43985.6,2026-06-28 08:00:00+00:00
1782637200,0.001,5589.3,2026-06-28 09:00:00+00:00
1782640800,0.001,1810999.4,2026-06-28 10:00:00+00:00
1782644400,0.002,12501.99,2026-06-28 11:00:00+00:00
1782651600,0.002,462.75,2026-06-28 13:00:00+00:00
1782658800,0.002,305.0,2026-06-28 15:00:00+00:00
1782662400,0.002,25337.25,2026-06-28 16:00:00+00:00
1782666000,0.002,2136.65,2026-06-28 17:00:00+00:00
1782669600,0.001,12377.92,2026-06-28 18:00:00+00:00
1782673200,0.001,54195.03,2026-06-28 19:00:00+00:00
1782676800,0.002,20698.91,2026-06-28 20:00:00+00:00
1782680400,0.001,50691.77,2026-06-28 21:00:00+00:00
1782684000,0.001,199065.69,2026-06-28 22:00:00+00:00
1782687600,0.001,20057.7,2026-06-28 23:00:00+00:00
1782691200,0.001,6537.54,2026-06-29 00:00:00+00:00
1782694800,0.001,58173.0,2026-06-29 01:00:00+00:00
1782698400,0.001,2850.8,2026-06-29 02:00:00+00:00
1782702000,0.001,458.0,2026-06-29 03:00:00+00:00
1782705600,0.001,2974.8,2026-06-29 04:00:00+00:00
1782709200,0.001,23721.5,2026-06-29 05:00:00+00:00
1782712800,0.001,16207.0,2026-06-29 06:00:00+00:00
1782716400,0.001,10282.4,2026-06-29 07:00:00+00:00
1782734400,0.001,37380.0,2026-06-29 12:00:00+00:00
1782738000,0.001,9337.1,2026-06-29 13:00:00+00:00
1782741600,0.001,55.0,2026-06-29 14:00:00+00:00
1782745200,0.001,59547.9,2026-06-29 15:00:00+00:00
1782748800,0.001,3430.33,2026-06-29 16:00:00+00:00
1782752400,0.001,22980.0,2026-06-29 17:00:00+00:00
1782759600,0.001,93455.1,2026-06-29 19:00:00+00:00
1782763200,0.001,25207.6,2026-06-29 20:00:00+00:00
1782766800,0.001,18170.3,2026-06-29 21:00:00+00:00
1782770400,0.001,10960.0,2026-06-29 22:00:00+00:00
1782774000,0.001,52376.9,2026-06-29 23:00:00+00:00
1782777600,0.002,980397.18,2026-06-30 00:00:00+00:00
1782781200,0.002,16380.45,2026-06-30 01:00:00+00:00
1782784800,0.002,17157.2,2026-06-30 02:00:00+00:00
1782788400,0.002,50846.88,2026-06-30 03:00:00+00:00
1782792000,0.002,13277.52,2026-06-30 04:00:00+00:00
1782795600,0.002,154021.14,2026-06-30 05:00:00+00:00
1782799200,0.002,18327.12,2026-06-30 06:00:00+00:00
1782802800,0.002,286780.78,2026-06-30 07:00:00+00:00
1782806400,0.002,100605.49,2026-06-30 08:00:00+00:00
1782810000,0.002,157973.04,2026-06-30 09:00:00+00:00
1782813600,0.002,1878.3,2026-06-30 10:00:00+00:00
1782820800,0.002,2561.75,2026-06-30 12:00:00+00:00
1782824400,0.003,60871.09,2026-06-30 13:00:00+00:00
1782828000,0.003,2819.5,2026-06-30 14:00:00+00:00
1782831600,0.003,8467.22,2026-06-30 15:00:00+00:00
1782835200,0.003,146.66,2026-06-30 16:00:00+00:00
1782838800,0.003,177787.64,2026-06-30 17:00:00+00:00
1782842400,0.003,98729.69,2026-06-30 18:00:00+00:00
1782846000,0.003,70877.75,2026-06-30 19:00:00+00:00
1782849600,0.003,128414.3,2026-06-30 20:00:00+00:00
1782853200,0.003,238240.3,2026-06-30 21:00:00+00:00
1782856800,0.001,212633.97,2026-06-30 22:00:00+00:00
1782860400,0.001,26382.1,2026-06-30 23:00:00+00:00
1782864000,0.001,1258.4,2026-07-01 00:00:00+00:00
