ts,price,volume,dt
1782630000,0.005,306.16,2026-06-28 07:00:00+00:00
1782633600,0.005,198.44,2026-06-28 08:00:00+00:00
1782637200,0.004,10885.85,2026-06-28 09:00:00+00:00
1782640800,0.004,119417.06,2026-06-28 10:00:00+00:00
1782644400,0.004,43897.01,2026-06-28 11:00:00+00:00
1782648000,0.004,7009.99,2026-06-28 12:00:00+00:00
1782651600,0.004,10.0,2026-06-28 13:00:00+00:00
1782655200,0.004,1865.05,2026-06-28 14:00:00+00:00
1782658800,0.004,31561.31,2026-06-28 15:00:00+00:00
1782662400,0.004,10310.62,2026-06-28 16:00:00+00:00
1782666000,0.004,7590.82,2026-06-28 17:00:00+00:00
1782669600,0.004,15883.65,2026-06-28 18:00:00+00:00
1782673200,0.004,88865.51,2026-06-28 19:00:00+00:00
1782676800,0.004,17450.29,2026-06-28 20:00:00+00:00
1782680400,0.004,41715.77,2026-06-28 21:00:00+00:00
1782684000,0.004,66945.46,2026-06-28 22:00:00+00:00
1782687600,0.004,23833.15,2026-06-28 23:00:00+00:00
1782691200,0.004,5753.14,2026-06-29 00:00:00+00:00
1782694800,0.004,1266.2,2026-06-29 01:00:00+00:00
1782698400,0.003,12220.62,2026-06-29 02:00:00+00:00
1782702000,0.004,12686.87,2026-06-29 03:00:00+00:00
1782705600,0.004,15241.35,2026-06-29 04:00:00+00:00
1782709200,0.004,121172.97,2026-06-29 05:00:00+00:00
1782712800,0.004,2577.04,2026-06-29 06:00:00+00:00
1782720000,0.004,1166.2,2026-06-29 08:00:00+00:00
1782723600,0.004,700.2,2026-06-29 09:00:00+00:00
1782730800,0.004,1166.2,2026-06-29 11:00:00+00:00
1782734400,0.004,4698.79,2026-06-29 12:00:00+00:00
1782738000,0.004,21881.29,2026-06-29 13:00:00+00:00
1782741600,0.004,141522.47,2026-06-29 14:00:00+00:00
1782745200,0.004,3123.0,2026-06-29 15:00:00+00:00
1782748800,0.004,4429.72,2026-06-29 16:00:00+00:00
1782752400,0.004,54107.4,2026-06-29 17:00:00+00:00
1782756000,0.004,28038.6,2026-06-29 18:00:00+00:00
1782759600,0.004,3733.25,2026-06-29 19:00:00+00:00
1782763200,0.004,34361.74,2026-06-29 20:00:00+00:00
1782766800,0.004,1397.6,2026-06-29 21:00:00+00:00
1782770400,0.004,18373.09,2026-06-29 22:00:00+00:00
1782774000,0.004,15598.4,2026-06-29 23:00:00+00:00
1782777600,0.004,27857.42,2026-06-30 00:00:00+00:00
1782781200,0.004,46158.09,2026-06-30 01:00:00+00:00
1782784800,0.004,15993.83,2026-06-30 02:00:00+00:00
1782788400,0.004,5598.26,2026-06-30 03:00:00+00:00
1782792000,0.004,29232.61,2026-06-30 04:00:00+00:00
1782795600,0.004,52854.97,2026-06-30 05:00:00+00:00
1782799200,0.004,20918.28,2026-06-30 06:00:00+00:00
1782802800,0.004,16598.34,2026-06-30 07:00:00+00:00
1782806400,0.004,10519.21,2026-06-30 08:00:00+00:00
1782810000,0.004,3149.77,2026-06-30 09:00:00+00:00
1782813600,0.004,146010.29,2026-06-30 10:00:00+00:00
1782817200,0.004,331.4,2026-06-30 11:00:00+00:00
1782820800,0.004,18754.27,2026-06-30 12:00:00+00:00
1782824400,0.004,18217.85,2026-06-30 13:00:00+00:00
1782828000,0.004,5430.47,2026-06-30 14:00:00+00:00
1782831600,0.004,2567.05,2026-06-30 15:00:00+00:00
1782835200,0.004,3317.52,2026-06-30 16:00:00+00:00
1782838800,0.004,23521.58,2026-06-30 17:00:00+00:00
1782842400,0.004,1621.0,2026-06-30 18:00:00+00:00
1782846000,0.004,46217.91,2026-06-30 19:00:00+00:00
1782849600,0.004,83041.65,2026-06-30 20:00:00+00:00
1782853200,0.004,74802.77,2026-06-30 21:00:00+00:00
1782856800,0.004,3642.05,2026-06-30 22:00:00+00:00
1782860400,0.004,128385.11,2026-06-30 23:00:00+00:00
1782864000,0.004,37571.31,2026-07-01 00:00:00+00:00
1782867600,0.004,45500.4,2026-07-01 01:00:00+00:00
1782871200,0.004,37458.4,2026-07-01 02:00:00+00:00
1782874800,0.004,31774.11,2026-07-01 03:00:00+00:00
1782878400,0.004,52564.68,2026-07-01 04:00:00+00:00
1782882000,0.004,293261.21,2026-07-01 05:00:00+00:00
1782885600,0.004,17864.58,2026-07-01 06:00:00+00:00
1782889200,0.004,8655.12,2026-07-01 07:00:00+00:00
1782892800,0.004,13924.41,2026-07-01 08:00:00+00:00
1782896400,0.004,32708.76,2026-07-01 09:00:00+00:00
1782900000,0.004,23835.42,2026-07-01 10:00:00+00:00
1782903600,0.004,23146.69,2026-07-01 11:00:00+00:00
1782907200,0.007,2013908.53,2026-07-01 12:00:00+00:00
1782910800,0.007,1600.3,2026-07-01 13:00:00+00:00
1782914400,0.007,6675.04,2026-07-01 14:00:00+00:00
1782918000,0.006,28712.5,2026-07-01 15:00:00+00:00
1782921600,0.004,81146.07,2026-07-01 16:00:00+00:00
1782925200,0.005,26547.34,2026-07-01 17:00:00+00:00
1782928800,0.005,17527.18,2026-07-01 18:00:00+00:00
1782932400,0.005,115492.26,2026-07-01 19:00:00+00:00
1782936000,0.004,333355.67,2026-07-01 20:00:00+00:00
1782939600,0.008,228332.49,2026-07-01 21:00:00+00:00
1782943200,0.007,683493.17,2026-07-01 22:00:00+00:00
1782946800,0.001,97392.52,2026-07-01 23:00:00+00:00
1782950400,0.001,160477.5,2026-07-02 00:00:00+00:00
