ts,price,volume,dt
1782630000,0.037,76312.16,2026-06-28 07:00:00+00:00
1782633600,0.036,28759.54,2026-06-28 08:00:00+00:00
1782637200,0.036,24703.57,2026-06-28 09:00:00+00:00
1782640800,0.035,25933.09,2026-06-28 10:00:00+00:00
1782644400,0.035,10033.35,2026-06-28 11:00:00+00:00
1782648000,0.036,24956.47,2026-06-28 12:00:00+00:00
1782651600,0.036,26699.32,2026-06-28 13:00:00+00:00
1782655200,0.036,39283.98,2026-06-28 14:00:00+00:00
1782658800,0.035,45678.52,2026-06-28 15:00:00+00:00
1782662400,0.036,77204.33,2026-06-28 16:00:00+00:00
1782666000,0.035,76410.76,2026-06-28 17:00:00+00:00
1782669600,0.036,56079.6,2026-06-28 18:00:00+00:00
1782673200,0.035,129641.45,2026-06-28 19:00:00+00:00
1782676800,0.036,59329.65,2026-06-28 20:00:00+00:00
1782680400,0.036,89788.78,2026-06-28 21:00:00+00:00
1782684000,0.036,119267.68,2026-06-28 22:00:00+00:00
1782687600,0.036,90617.52,2026-06-28 23:00:00+00:00
1782691200,0.036,83473.2,2026-06-29 00:00:00+00:00
1782694800,0.036,40041.67,2026-06-29 01:00:00+00:00
1782698400,0.036,69743.89,2026-06-29 02:00:00+00:00
1782702000,0.036,90638.87,2026-06-29 03:00:00+00:00
1782705600,0.036,102168.38,2026-06-29 04:00:00+00:00
1782709200,0.036,28169.01,2026-06-29 05:00:00+00:00
1782712800,0.036,27148.74,2026-06-29 06:00:00+00:00
1782716400,0.036,23280.77,2026-06-29 07:00:00+00:00
1782720000,0.036,10634.61,2026-06-29 08:00:00+00:00
1782723600,0.035,13196.3,2026-06-29 09:00:00+00:00
1782727200,0.036,10599.11,2026-06-29 10:00:00+00:00
1782730800,0.036,8331.13,2026-06-29 11:00:00+00:00
1782734400,0.036,16348.17,2026-06-29 12:00:00+00:00
1782738000,0.036,26285.13,2026-06-29 13:00:00+00:00
1782741600,0.036,45943.95,2026-06-29 14:00:00+00:00
1782745200,0.036,395155.85,2026-06-29 15:00:00+00:00
1782748800,0.036,37634.37,2026-06-29 16:00:00+00:00
1782752400,0.036,219938.78,2026-06-29 17:00:00+00:00
1782756000,0.036,91984.08,2026-06-29 18:00:00+00:00
1782759600,0.036,108244.16,2026-06-29 19:00:00+00:00
1782763200,0.036,116509.61,2026-06-29 20:00:00+00:00
1782766800,0.036,46717.73,2026-06-29 21:00:00+00:00
1782770400,0.036,175482.75,2026-06-29 22:00:00+00:00
1782774000,0.036,115790.08,2026-06-29 23:00:00+00:00
1782777600,0.039,323353.59,2026-06-30 00:00:00+00:00
1782781200,0.039,226157.94,2026-06-30 01:00:00+00:00
1782784800,0.038,112050.45,2026-06-30 02:00:00+00:00
1782788400,0.041,328125.06,2026-06-30 03:00:00+00:00
1782792000,0.042,148747.74,2026-06-30 04:00:00+00:00
1782795600,0.042,275512.4,2026-06-30 05:00:00+00:00
1782799200,0.041,100296.91,2026-06-30 06:00:00+00:00
1782802800,0.04,109087.23,2026-06-30 07:00:00+00:00
1782806400,0.04,81335.42,2026-06-30 08:00:00+00:00
1782810000,0.039,12979.4,2026-06-30 09:00:00+00:00
1782813600,0.04,31161.08,2026-06-30 10:00:00+00:00
1782817200,0.039,19762.95,2026-06-30 11:00:00+00:00
1782820800,0.039,42164.25,2026-06-30 12:00:00+00:00
1782824400,0.038,49668.57,2026-06-30 13:00:00+00:00
1782828000,0.039,77626.3,2026-06-30 14:00:00+00:00
1782831600,0.038,62625.98,2026-06-30 15:00:00+00:00
1782835200,0.038,76230.82,2026-06-30 16:00:00+00:00
1782838800,0.039,96895.87,2026-06-30 17:00:00+00:00
1782842400,0.039,117140.62,2026-06-30 18:00:00+00:00
1782846000,0.038,343024.72,2026-06-30 19:00:00+00:00
1782849600,0.04,128780.09,2026-06-30 20:00:00+00:00
1782853200,0.04,88224.99,2026-06-30 21:00:00+00:00
1782856800,0.04,159166.03,2026-06-30 22:00:00+00:00
1782860400,0.036,134089.36,2026-06-30 23:00:00+00:00
1782864000,0.039,165320.85,2026-07-01 00:00:00+00:00
1782867600,0.04,139717.24,2026-07-01 01:00:00+00:00
1782871200,0.039,227493.53,2026-07-01 02:00:00+00:00
1782874800,0.041,170427.64,2026-07-01 03:00:00+00:00
1782878400,0.04,180581.9,2026-07-01 04:00:00+00:00
1782882000,0.041,153885.68,2026-07-01 05:00:00+00:00
1782885600,0.041,121611.63,2026-07-01 06:00:00+00:00
1782889200,0.042,52094.35,2026-07-01 07:00:00+00:00
1782892800,0.041,37516.82,2026-07-01 08:00:00+00:00
1782896400,0.04,14478.98,2026-07-01 09:00:00+00:00
1782900000,0.039,12802.91,2026-07-01 10:00:00+00:00
1782903600,0.039,28992.43,2026-07-01 11:00:00+00:00
1782907200,0.039,26983.11,2026-07-01 12:00:00+00:00
1782910800,0.041,64254.6,2026-07-01 13:00:00+00:00
1782914400,0.042,80480.16,2026-07-01 14:00:00+00:00
1782918000,0.04,105647.62,2026-07-01 15:00:00+00:00
1782921600,0.043,86745.16,2026-07-01 16:00:00+00:00
1782925200,0.042,108698.51,2026-07-01 17:00:00+00:00
1782928800,0.042,157543.03,2026-07-01 18:00:00+00:00
1782932400,0.038,170989.83,2026-07-01 19:00:00+00:00
1782936000,0.04,345888.35,2026-07-01 20:00:00+00:00
1782939600,0.04,140985.69,2026-07-01 21:00:00+00:00
1782943200,0.042,298865.05,2026-07-01 22:00:00+00:00
1782946800,0.042,225326.42,2026-07-01 23:00:00+00:00
1782950400,0.044,306511.03,2026-07-02 00:00:00+00:00
1782954000,0.047,331203.59,2026-07-02 01:00:00+00:00
1782957600,0.046,703716.81,2026-07-02 02:00:00+00:00
1782961200,0.045,801514.49,2026-07-02 03:00:00+00:00
1782964800,0.044,229604.46,2026-07-02 04:00:00+00:00
1782968400,0.043,160805.76,2026-07-02 05:00:00+00:00
1782972000,0.043,80379.48,2026-07-02 06:00:00+00:00
1782975600,0.042,104457.35,2026-07-02 07:00:00+00:00
1782986400,0.043,68177.61,2026-07-02 10:00:00+00:00
1782990000,0.043,100363.88,2026-07-02 11:00:00+00:00
1782993600,0.042,78001.22,2026-07-02 12:00:00+00:00
