n_hedge,pnl_if_hedge_wins,pnl_if_loser_advances,worst_case
0,-12.8,26.55,-12.8
5,-10.59,23.76,-10.59
10,-8.37,20.98,-8.37
15,-6.16,18.19,-6.16
20,-3.95,15.4,-3.95
25,-1.73,12.62,-1.73
30,0.48,9.83,0.48
35,2.69,7.04,2.69
40,4.9,4.25,4.25
45,7.12,1.47,1.47
50,9.33,-1.32,-1.32
55,11.54,-4.11,-4.11
60,13.76,-6.89,-6.89
65,15.97,-9.68,-9.68
70,18.18,-12.47,-12.47
75,20.4,-15.25,-15.25
80,22.61,-18.04,-18.04
85,24.82,-20.83,-20.83
90,27.04,-23.61,-23.61
95,29.25,-26.4,-26.4
100,31.46,-29.19,-29.19
105,33.67,-31.98,-31.98
110,35.89,-34.76,-34.76
115,38.1,-37.55,-37.55
120,40.31,-40.34,-40.34
